$\log_{10}|y_{\mathrm{min}}|$,Controller
-0.974398548,LQR
-0.43469073,LQR
-0.992233523,LQR
-0.702607464,LQR
-0.708594182,LQR
-1.087801731,LQR
-1.090320339,LQR
-0.740857596,LQR
-0.877138622,LQR
-0.562976545,LQR
-1.969675757,LQR
-0.412178955,LQR
-1.111127289,LQR
-0.769633846,LQR
-1.151161231,LQR
-0.717248767,LQR
-1.024926255,LQR
-0.717799138,LQR
-0.394882983,LQR
-0.729041254,LQR
-0.549146585,LQR
-1.300460688,LQR
-0.17787406,LQR
-0.566441249,LQR
-0.374575002,LQR
-0.472126801,LQR
-1.183603907,LQR
-1.576848019,LQR
-0.717169028,LQR
-0.265252284,LQR
-0.522591518,LQR
-0.974539634,LQR
-0.875362737,LQR
-0.808804433,LQR
-0.529582883,LQR
-0.87249968,LQR
-1.18280621,LQR
-0.345045831,LQR
-0.818663781,LQR
-1.416474523,LQR
-1.881420094,LQR
-0.425205482,LQR
-0.975977004,LQR
-0.976126771,LQR
-0.865778954,LQR
-1.420363944,LQR
-0.872765433,LQR
-1.220713189,LQR
-0.314341251,LQR
0.13867992072423838,LQR
-0.641415061,SIREN
-0.208953106,SIREN
-0.774682932,SIREN
-0.989661589,SIREN
-2.721601818,SIREN
-2.396830276,SIREN
-2.974568634,SIREN
-1.366210273,SIREN
-2.377090448,SIREN
-3.168539017,SIREN
-2.838177854,SIREN
-2.83187255,SIREN
-2.856558913,SIREN
-2.416255698,SIREN
-2.876013562,SIREN
-2.03890647,SIREN
-2.455363784,SIREN
-2.475292584,SIREN
-2.097347814,SIREN
-2.378768283,SIREN
-2.513986644,SIREN
-2.699794396,SIREN
-0.277684186,SIREN
-0.375498894,SIREN
-0.418419755,SIREN
-2.209840388,SIREN
-2.383255739,SIREN
-2.097478725,SIREN
-2.156631213,SIREN
-0.520617402,SIREN
-2.118578436,SIREN
-2.399991843,SIREN
-2.21840363,SIREN
-2.61660419,SIREN
-0.911546863,SIREN
-1.162620313,SIREN
-2.553907598,SIREN
-2.698850714,SIREN
-1.616000219,SIREN
-1.528736241,SIREN
-2.384506521,SIREN
-2.317638496,SIREN
-1.140045942,SIREN
-1.892055498,SIREN
-2.753002663,SIREN
-2.240249153,SIREN
-2.171048523,SIREN
-2.887618735,SIREN
-0.586730331,SIREN
-0.025865913,SIREN
-0.889799252,MLP
-0.401228262,MLP
-2.012951227,MLP
-1.57697653,MLP
-2.831933007,MLP
-2.937919921,MLP
-2.90841188,MLP
-1.214043761,MLP
-2.85336121,MLP
-2.786283308,MLP
-2.910406455,MLP
-2.805749617,MLP
-2.939608319,MLP
-2.832091891,MLP
-2.921963626,MLP
-2.893180054,MLP
-2.843806641,MLP
-2.912109076,MLP
-2.779555045,MLP
-2.914585736,MLP
-2.728159092,MLP
-2.935837475,MLP
-0.260785557,MLP
-1.192266793,MLP
-2.937394693,MLP
-2.889325496,MLP
-1.209630407,MLP
-2.912160899,MLP
-2.707389009,MLP
-2.077746382,MLP
-2.740136329,MLP
-2.882743796,MLP
-2.934700848,MLP
-2.926428661,MLP
-1.11800053,MLP
-0.958634322,MLP
-2.890929265,MLP
-2.903771224,MLP
-2.789968866,MLP
-2.936324934,MLP
-2.909989574,MLP
-2.710891875,MLP
-1.057021696,MLP
-2.851694973,MLP
-2.875611833,MLP
-2.902805789,MLP
-2.930404114,MLP
-3.124175076,MLP
-0.580044814,MLP
0.019044416338491597,MLP
-0.710185902,RL
-0.460454247,RL
-1.118527155,RL
-1.732988835,RL
-1.501089025,RL
-2.090883171,RL
-0.865863932,RL
-1.389323117,RL
-1.1985045,RL
-1.434708589,RL
-1.80027171,RL
-1.343535846,RL
-1.750559993,RL
-1.555967655,RL
-1.684962971,RL
-1.321605878,RL
-1.296119258,RL
-0.214891937,RL
-0.309417171,RL
-1.558440466,RL
-1.551229768,RL
-1.484538504,RL
-1.382496086,RL
-1.297645713,RL
-0.775642996,RL
-2.02711466,RL
-1.4555135,RL
-1.231458555,RL
-1.572327404,RL
-0.959797407,RL
-1.788470108,RL
-1.509571376,RL
-0.776701513,RL
-0.064407432,RL
-1.007787754,OPINN
-0.420500298,OPINN
-1.667745883,OPINN
-1.86392272,OPINN
-1.940583089,OPINN
-1.726958818,OPINN
-1.41397017,OPINN
-3.181735511,OPINN
-2.112213969,OPINN
-1.906966436,OPINN
-2.138535881,OPINN
-2.285529794,OPINN
-1.637398953,OPINN
-1.693740764,OPINN
-1.734355159,OPINN
-1.557080583,OPINN
-1.703536292,OPINN
-1.532360606,OPINN
-1.506578631,OPINN
-1.405822432,OPINN
-2.335471155,OPINN
-1.884090427,OPINN
-0.870713603,OPINN
-2.970478429,OPINN
-1.499806759,OPINN
-2.245491475,OPINN
-1.835074582,OPINN
-1.702329412,OPINN
-2.989980191,OPINN
-1.401153226,OPINN
-1.946472846,OPINN
-3.700293542,OPINN
-2.047622928,OPINN
-2.584675788,OPINN
-1.822921556,OPINN
-0.922488502,OPINN
-2.081088859,OPINN
-1.433560472,OPINN
-2.981497277,OPINN
-2.358013712,OPINN
-2.600576285,OPINN
-2.972777424,OPINN
-1.150494486,OPINN
-1.728360929,OPINN
-1.474847447,OPINN
-2.170948894,OPINN
-1.406082365,OPINN
-1.741374558,OPINN
-2.911616379,OPINN
-0.358851739,OPINN
