Return,Controller
-8.01210316,LQR
-20.3785512,LQR
-5.992046159,LQR
-16.00360147,LQR
-15.86857868,LQR
-12.71834274,LQR
-13.54149777,LQR
-9.22175701,LQR
-16.09689835,LQR
-31.60206967,LQR
-6.549420813,LQR
-18.55955136,LQR
-16.06993195,LQR
-11.46687609,LQR
-9.770736488,LQR
-19.01574456,LQR
-16.31501286,LQR
-14.16777364,LQR
-20.66885155,LQR
-18.95124608,LQR
-13.03034584,LQR
-6.322091373,LQR
-35.56217224,LQR
-15.68799489,LQR
-23.96518163,LQR
-22.75362726,LQR
-20.89718648,LQR
-2.893815328,LQR
-15.21340953,LQR
-25.56397272,LQR
-20.83049845,LQR
-14.21320928,LQR
-4.971484884,LQR
-13.90674545,LQR
-23.79155166,LQR
-6.537599132,LQR
-10.17277097,LQR
-25.26245875,LQR
-8.020084478,LQR
-7.343575588,LQR
-1.714885335,LQR
-23.25876575,LQR
-10.54363456,LQR
-9.043825437,LQR
-12.23604204,LQR
-9.132968365,LQR
-13.9048826,LQR
-18.55490434,LQR
-30.1436488,LQR
-90.39272173,LQR
-14.26496442,SIREN
-33.44743483,SIREN
-9.634164246,SIREN
-13.97600882,SIREN
-11.75195082,SIREN
-10.04996192,SIREN
-11.95751432,SIREN
-6.396683779,SIREN
-13.29581772,SIREN
-18.32695924,SIREN
-6.439474231,SIREN
-6.457476722,SIREN
-11.58859214,SIREN
-6.863882192,SIREN
-9.182847696,SIREN
-9.412905514,SIREN
-11.70110317,SIREN
-6.014706147,SIREN
-6.145868795,SIREN
-10.91998967,SIREN
-3.117957744,SIREN
-5.462939863,SIREN
-50.8831988,SIREN
-27.17023204,SIREN
-25.18472053,SIREN
-9.152894021,SIREN
-12.53753604,SIREN
-2.511856581,SIREN
-6.631675735,SIREN
-16.8353932,SIREN
-9.001499277,SIREN
-11.91956162,SIREN
-1.871136485,SIREN
-8.507465773,SIREN
-15.02446503,SIREN
-4.516949535,SIREN
-7.261585852,SIREN
-8.488828899,SIREN
-3.716357508,SIREN
-7.875276576,SIREN
-1.574071172,SIREN
-7.517016177,SIREN
-11.21422077,SIREN
-6.040125761,SIREN
-9.686540615,SIREN
-8.581497343,SIREN
-8.934890973,SIREN
-11.29617561,SIREN
-15.64606338,SIREN
-68.82819149,SIREN
-7.498340422,MLP
-37.1211823,MLP
-3.866623656,MLP
-11.15832528,MLP
-11.93800749,MLP
-8.668874043,MLP
-12.87588963,MLP
-6.879644986,MLP
-13.04859018,MLP
-17.61391828,MLP
-6.489316487,MLP
-6.147193869,MLP
-11.73410261,MLP
-6.899758946,MLP
-8.556493466,MLP
-10.11996883,MLP
-11.96521262,MLP
-6.01837721,MLP
-6.096265105,MLP
-12.48365463,MLP
-2.889093697,MLP
-5.630185329,MLP
-35.03828847,MLP
-8.528359935,MLP
-12.57380907,MLP
-9.234700262,MLP
-28.9278672,MLP
-2.315189701,MLP
-6.490837742,MLP
-6.570707187,MLP
-9.899917891,MLP
-11.19624994,MLP
-1.777598457,MLP
-8.398366886,MLP
-20.77798397,MLP
-5.555439816,MLP
-7.427823222,MLP
-8.580358305,MLP
-3.199603501,MLP
-6.461456851,MLP
-1.554111496,MLP
-7.610228582,MLP
-8.95429075,MLP
-5.778114105,MLP
-9.755851854,MLP
-8.563431836,MLP
-9.182461001,MLP
-11.94610081,MLP
-30.07636561,MLP
-67.11804992,MLP
-42.9026567,RL
-30.68619264,RL
-18.83985973,RL
-19.15259752,RL
-14.09946385,RL
-24.12486588,RL
-33.81192842,RL
-25.20807252,RL
-23.31998639,RL
-17.4885714,RL
-16.20805246,RL
-13.88869036,RL
-18.75766708,RL
-10.79531098,RL
-14.01868725,RL
-10.02861332,RL
-17.63821039,RL
-95.62830712,RL
-49.72729177,RL
-17.91230097,RL
-8.289551535,RL
-13.3225207,RL
-8.094468861,RL
-18.46838299,RL
-35.9932439,RL
-22.23575705,RL
-9.960740678,RL
-11.17242663,RL
-14.57627577,RL
-31.40788618,RL
-17.39505312,RL
-18.72445659,RL
-22.77433992,RL
-89.18890092,RL
-7.316858683,OPINN
-21.64081183,OPINN
-4.116696806,OPINN
-10.48577735,OPINN
-10.67475541,OPINN
-9.289781011,OPINN
-13.12034516,OPINN
-4.691302115,OPINN
-12.39038149,OPINN
-18.89580327,OPINN
-6.704641505,OPINN
-5.907957831,OPINN
-13.3090565,OPINN
-7.748893304,OPINN
-8.327182814,OPINN
-11.38342415,OPINN
-12.28691044,OPINN
-7.703655741,OPINN
-7.032018755,OPINN
-12.44182033,OPINN
-3.053414228,OPINN
-5.732984795,OPINN
-16.69913855,OPINN
-8.007829355,OPINN
-13.53148222,OPINN
-11.04216346,OPINN
-13.27930083,OPINN
-3.111349922,OPINN
-7.764795525,OPINN
-8.447312337,OPINN
-9.818411382,OPINN
-11.17995418,OPINN
-1.911808753,OPINN
-8.613468681,OPINN
-11.24725973,OPINN
-5.759926652,OPINN
-8.383494937,OPINN
-9.398864825,OPINN
-4.253149441,OPINN
-6.152541509,OPINN
-1.560090735,OPINN
-8.319964781,OPINN
-8.374426708,OPINN
-6.927231801,OPINN
-10.5534333,OPINN
-9.861174925,OPINN
-10.18221651,OPINN
-12.4028601,OPINN
-8.387711529,OPINN
-39.47861506,OPINN
