relative_time_s,absolute_time_s,state_cost,control_cost,total_cost,x_err,y_err,z_err,roll_err,pitch_err,yaw_err,vx_err,vy_err,vz_err,u_roll_rate,u_pitch_rate,u_yaw_rate,u_thrust
0,1782834957,8.257564849,10.23794854,18.49551338,-0.947837,0.037957,0.399363,0.01233,-0.002539,0.753991,0.016735,-0.014689,-0.00481,0.131746,0.690559,2.520636,-1.798305
0.09760189056,1782834957,8.237018287,10.13973981,18.37675809,-0.946296,0.038852,0.398473,0.015457,-0.004056,0.759149,0.033272,-0.017845,-0.00194,0.132167,0.661676,2.498979,-1.811725
0.1801028252,1782834957,8.032538618,6.036808683,14.0693473,-0.936751,0.041711,0.395362,0.052136,0.12723,0.711875,0.117035,-0.027004,0.00772,0.184205,0.371485,1.632939,-1.700883
0.2869758606,1782834957,7.374752791,0.9762106381,8.350963429,-0.912677,0.048837,0.373306,0.089206,0.314662,0.617639,0.376206,-0.075008,-0.197306,0.205397,0.141147,-0.348155,-0.642804
0.3595809937,1782834957,6.529257827,2.310703967,8.839961794,-0.879357,0.05934,0.339081,0.092443,0.406483,0.532679,0.631419,-0.093614,-0.197985,0.222102,0.048647,-1.34071,-0.132443
0.4336099625,1782834957,5.503620568,4.018503782,9.52212435,-0.828141,0.075385,0.293774,0.080565,0.432472,0.447647,0.969884,-0.089715,-0.233297,0.199926,-0.022216,-1.90145,0.052859
0.5113358498,1782834957,4.604965794,4.166917761,8.771883555,-0.769189,0.094039,0.251291,0.071472,0.36262,0.397713,1.26343,-0.095779,-0.267741,0.190505,-0.108132,-1.947232,0.024315
0.5847499371,1782834957,3.578377592,3.128500508,6.706878101,-0.68611,0.119204,0.199889,0.06162,0.223858,0.356458,1.404987,-0.101588,-0.485784,0.22731,-0.17419,-1.603106,-0.10729
0.6539227962,1782834957,2.640325216,2.044614207,4.684939423,-0.595404,0.145298,0.142481,0.057036,0.06071,0.327948,1.393647,-0.120373,-0.723211,0.356763,-0.292157,-0.798438,-0.221262
0.7201189995,1782834957,1.977969879,1.96973801,3.94770789,-0.518583,0.165587,0.086471,0.03964,-0.06964,0.299008,1.201147,-0.109005,-1.054404,0.422408,-0.174083,0.368883,-0.138106
0.7928409576,1782834957,1.471906804,3.160592986,4.63249979,-0.447149,0.183775,0.028612,0.026017,-0.167389,0.276041,0.974114,-0.084342,-1.059656,0.379313,0.014983,1.310144,-0.071468
0.8616139889,1782834957,1.100979414,4.023782368,5.124761782,-0.377554,0.20064,-0.025815,0.012165,-0.212053,0.246456,0.71215,-0.026589,-0.758917,0.30466,0.235067,1.741721,-0.082199
0.9315838814,1782834958,0.9371665695,3.714198872,4.651365441,-0.333452,0.210988,-0.051411,0.009913,-0.185712,0.225153,0.585621,0.005421,-0.416211,0.285645,0.314416,1.667689,-0.134997
1.0047369,1782834958,0.8244383147,2.97304332,3.797481635,-0.302688,0.218776,-0.057106,0.024951,-0.130765,0.197727,0.451463,0.035099,-0.065448,0.263532,0.322496,1.464263,-0.174592
1.103370905,1782834958,0.7312163482,1.816506327,2.547722675,-0.27728,0.224525,-0.049784,0.045405,-0.051316,0.168155,0.388941,0.041118,0.106154,0.241184,0.307164,1.057025,-0.152176
1.210275888,1782834958,0.6310488704,0.7541439261,1.385192797,-0.251112,0.228187,-0.030034,0.074712,0.03911,0.133773,0.387009,0.016676,0.193999,0.229593,0.131995,0.452633,-0.068667
1.279310942,1782834958,0.5394653257,0.6465939238,1.186059249,-0.221484,0.226019,-0.00672,0.105105,0.100311,0.104376,0.450442,-0.049711,0.207875,0.241357,-0.224299,-0.111375,-0.036708
1.353916883,1782834958,0.4805679535,0.8145717973,1.295139751,-0.196744,0.220225,0.007851,0.111606,0.118865,0.086937,0.509105,-0.121752,0.238354,0.229805,-0.401881,-0.351444,-0.038042
1.424134016,1782834958,0.4091743197,0.7972375271,1.206411847,-0.163008,0.207398,0.024369,0.097995,0.095984,0.074299,0.563384,-0.213128,0.238437,0.211787,-0.488901,-0.327586,-0.048615
1.498214006,1782834958,0.3507785659,0.7192566508,1.070035217,-0.130984,0.191742,0.037927,0.073169,0.054016,0.068,0.591679,-0.295831,0.178585,0.206776,-0.513288,-0.159357,-0.053238
1.569069862,1782834958,0.2902708172,0.6113756365,0.9016464537,-0.093385,0.169974,0.050183,0.031176,0.001715,0.068004,0.580708,-0.345935,0.119718,0.207849,-0.404546,0.113326,-0.05351
