鏃堕棿(s)	浣嶇疆x(m)	浣嶇疆y(m)	浣嶇疆z(m)	娆ф媺瑙抮oll(rad)	娆ф媺瑙抪itch(rad)	娆ф媺瑙抷aw(rad)	閫熷害x(m/s)	閫熷害y(m/s)	閫熷害z(m/s)
1782895721.907768	-0.541551	-0.014236	1.255628	0.006541	0.004463	0.022424	0.026991	-0.001340	-0.027637
1782895721.912072	-0.541551	-0.014236	1.255628	0.006541	0.004463	0.022424	0.024418	-0.000163	-0.044187
1782895721.919309	-0.541411	-0.014201	1.255350	0.006206	0.006086	0.022163	0.024418	-0.000163	-0.044187
1782895721.929433	-0.541198	-0.014137	1.255171	0.006642	0.006150	0.022242	0.024418	-0.000163	-0.044187
1782895721.940717	-0.540887	-0.014121	1.254773	0.006311	0.005694	0.021453	0.022923	-0.000258	-0.029295
1782895721.949516	-0.540662	-0.013881	1.254390	0.008429	0.007433	0.025693	0.029818	-0.008749	-0.016214
1782895721.959785	-0.540417	-0.013968	1.254243	0.005053	0.009809	0.028157	0.029818	-0.008749	-0.016214
1782895721.969920	-0.54024	-0.013852	1.253932	0.005984	0.010727	0.031829	0.027160	-0.004085	0.012375
1782895721.979780	-0.540054	-0.013653	1.253942	0.004100	0.010802	0.036444	0.027160	-0.004085	0.012375
1782895721.989854	-0.540054	-0.013653	1.253942	0.004100	0.010802	0.036444	0.027160	-0.004085	0.012375
1782895721.999704	-0.539901	-0.013535	1.254246	-0.000128	0.010494	0.039563	0.030342	-0.001396	0.045452
1782895722.012052	-0.539751	-0.013374	1.254851	0.008775	0.008193	0.042722	0.032599	-0.000483	0.085564
1782895722.019905	-0.539614	-0.013188	1.255651	0.009748	0.008057	0.046370	0.032599	-0.000483	0.085564
1782895722.030341	-0.539396	-0.013269	1.256352	0.006704	0.008795	0.050543	0.032599	-0.000483	0.085564
1782895722.042324	-0.539088	-0.013074	1.257886	0.010161	0.008700	0.053328	0.029862	0.002054	0.111068
1782895722.051304	-0.53885	-0.012867	1.258947	0.006730	0.009793	0.057081	0.029862	0.002054	0.111068
1782895722.060329	-0.538718	-0.012804	1.260540	0.014386	0.008211	0.060550	0.036465	0.000435	0.143036
1782895722.074086	-0.538373	-0.012611	1.262079	0.006540	0.009490	0.063839	0.037534	-0.002572	0.150877
1782895722.079652	-0.53824	-0.012647	1.263715	0.009021	0.008519	0.067500	0.037534	-0.002572	0.150877
1782895722.089942	-0.538038	-0.012467	1.265695	0.007598	0.010348	0.070141	0.037534	-0.002572	0.150877
1782895722.099825	-0.538038	-0.012467	1.265695	0.007598	0.010348	0.070141	0.044071	-0.004184	0.174046
1782895722.109828	-0.537557	-0.012334	1.267500	0.006890	0.009479	0.074285	0.042747	-0.003916	0.166278
1782895722.120644	-0.537372	-0.012186	1.269577	0.008245	0.008360	0.078129	0.042747	-0.003916	0.166278
1782895722.130841	-0.536957	-0.012312	1.271607	0.005084	0.010254	0.080828	0.045036	-0.005194	0.170634
1782895722.139960	-0.536689	-0.012055	1.273363	0.009550	0.008189	0.084351	0.045036	-0.005194	0.170634
1782895722.149976	-0.536456	-0.011857	1.275403	0.008782	0.009307	0.087375	0.050192	-0.002361	0.150790
1782895722.159676	-0.536032	-0.011911	1.277077	0.004302	0.010076	0.090474	0.050192	-0.002361	0.150790
1782895722.170569	-0.535771	-0.011673	1.278858	0.009789	0.009020	0.092978	0.044483	-0.005312	0.129077
1782895722.182474	-0.535381	-0.011679	1.280472	0.006592	0.008530	0.097327	0.044483	-0.005312	0.129077
