时间(s)	位置x(m)	位置y(m)	位置z(m)	欧拉角roll(rad)	欧拉角pitch(rad)	欧拉角yaw(rad)	速度x(m/s)	速度y(m/s)	速度z(m/s)
1782895817.404964	-0.573190	-0.034243	1.276353	-0.006681	0.014332	-0.018881	0.010654	-0.014511	-0.008105
1782895817.416657	-0.573115	-0.034271	1.276222	-0.003087	0.014080	-0.018583	0.010654	-0.014511	-0.008105
1782895817.425201	-0.573013	-0.034328	1.276083	-0.003482	0.012670	-0.018361	0.017892	-0.012958	-0.010649
1782895817.436472	-0.573048	-0.034433	1.276199	-0.006739	0.012816	-0.017530	0.017915	-0.016237	0.002346
1782895817.445943	-0.573059	-0.034454	1.276138	-0.004438	0.013132	-0.015254	0.017915	-0.016237	0.002346
1782895817.455464	-0.572780	-0.034542	1.276016	-0.002205	0.012486	-0.013358	0.017376	-0.016729	-0.006240
1782895817.465488	-0.572662	-0.034404	1.276043	-0.000176	0.013178	-0.011804	0.017376	-0.016729	-0.006240
1782895817.476558	-0.572466	-0.034518	1.276227	-0.003597	0.013227	-0.010372	0.016189	-0.012649	0.016707
1782895817.485038	-0.572466	-0.034518	1.276227	-0.003597	0.013227	-0.010372	0.016189	-0.012649	0.016707
1782895817.497875	-0.572401	-0.034615	1.276291	-0.002093	0.013209	-0.008499	0.022912	-0.015872	0.040082
1782895817.506792	-0.572387	-0.034729	1.276675	-0.001604	0.013654	-0.005661	0.022912	-0.015872	0.040082
1782895817.516078	-0.572170	-0.034606	1.277032	-0.000339	0.014814	-0.004568	0.025067	-0.015916	0.048111
1782895817.525118	-0.571855	-0.034568	1.277591	-0.004579	0.015514	-0.001743	0.025067	-0.015916	0.048111
1782895817.535286	-0.571697	-0.034648	1.278110	-0.003561	0.014175	0.000787	0.024199	-0.009873	0.066826
1782895817.546046	-0.571563	-0.034681	1.278998	0.000626	0.015104	0.003464	0.024199	-0.009873	0.066826
1782895817.557219	-0.571337	-0.034548	1.279678	-0.001681	0.013860	0.005708	0.031184	-0.016016	0.094391
1782895817.565338	-0.571092	-0.034476	1.280812	-0.001896	0.013419	0.007432	0.031184	-0.016016	0.094391
1782895817.576129	-0.571092	-0.034476	1.280812	-0.001896	0.013419	0.007432	0.031184	-0.016016	0.094391
1782895817.585077	-0.570883	-0.034475	1.281608	-0.001210	0.015348	0.009685	0.024639	-0.010895	0.089604
1782895817.595436	-0.570530	-0.034593	1.282901	-0.003918	0.014558	0.012100	0.030561	-0.017083	0.116278
1782895817.605717	-0.570321	-0.034404	1.283972	-0.002983	0.015345	0.015013	0.030561	-0.017083	0.116278
1782895817.616683	-0.569871	-0.034503	1.284872	-0.003273	0.015173	0.017067	0.030561	-0.017083	0.116278
1782895817.625276	-0.569755	-0.034566	1.286091	0.000884	0.012236	0.019889	0.033017	-0.015329	0.100140
1782895817.636461	-0.569561	-0.034559	1.287151	-0.004582	0.013316	0.023732	0.033017	-0.015329	0.100140
1782895817.645777	-0.569253	-0.034537	1.288051	-0.008693	0.014133	0.025614	0.029583	-0.014279	0.095630
