时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782895631.828734	0.155430	0.861976	2.296110	-2.388838
1782895631.865848	0.157324	0.863437	2.285993	-2.397508
1782895631.902428	0.167640	0.828370	2.219583	-2.435244
1782895631.948759	0.212756	0.702810	1.917471	-2.448589
1782895631.992573	0.244202	0.476227	1.286656	-2.205310
1782895632.030060	0.238036	0.319109	0.835538	-1.916702
1782895632.067096	0.218251	0.128944	0.326167	-1.522984
1782895632.103385	0.211213	0.016474	0.008238	-1.284052
1782895632.150616	0.210926	-0.062188	-0.246390	-1.097353
1782895632.200210	0.214148	-0.143013	-0.351920	-0.976654
1782895632.279513	0.220623	-0.213264	-0.408798	-0.906047
1782895632.327447	0.245014	-0.211069	-0.404536	-0.801583
1782895632.370110	0.259964	-0.284923	-0.460053	-0.737124
1782895632.406061	0.281133	-0.196480	-0.338818	-0.681387
1782895632.439475	0.293928	-0.186722	-0.320576	-0.653544
1782895632.483077	0.304515	-0.124224	-0.171568	-0.613996
1782895632.511049	0.311366	-0.033720	-0.005460	-0.585031
1782895632.549112	0.309379	-0.006899	0.055759	-0.570365
1782895632.593160	0.312728	-0.007919	0.142930	-0.529501
1782895632.641184	0.304226	0.021844	0.225875	-0.505307
1782895632.677723	0.287129	0.009081	0.331980	-0.486839
1782895632.718462	0.280891	-0.004008	0.347932	-0.465665
1782895632.759116	0.271162	-0.017449	0.404759	-0.449195
1782895632.804518	0.258064	-0.049789	0.456871	-0.426751
1782895632.843167	0.255319	-0.089371	0.520828	-0.400240
1782895632.882479	0.253897	-0.066653	0.550588	-0.376162
1782895632.916610	0.253626	-0.061246	0.556050	-0.355655
1782895632.960319	0.253123	-0.082449	0.543124	-0.341117
1782895633.005576	0.252749	-0.061102	0.539109	-0.313939
1782895633.039778	0.254858	-0.052079	0.544629	-0.296722
1782895633.069878	0.257880	-0.123787	0.607146	-0.267186
1782895633.114833	0.258759	-0.100956	0.570650	-0.253641
1782895633.152893	0.257601	-0.136181	0.632595	-0.240435
1782895633.184687	0.257622	-0.167057	0.627071	-0.223073
1782895633.228492	0.257667	-0.161082	0.618481	-0.216931
1782895633.267915	0.263042	-0.138047	0.623842	-0.203928
1782895633.352457	0.258513	-0.217852	0.605361	-0.184864
1782895633.399033	0.263274	-0.205794	0.585746	-0.153979
1782895633.478554	0.264180	-0.228314	0.576164	-0.146981
1782895633.614597	0.280301	-0.263432	0.552207	-0.104677
1782895633.681782	0.288795	-0.287405	0.502917	-0.086509
1782895633.715585	0.292798	-0.257656	0.478431	-0.076042
1782895633.761030	0.292535	-0.271689	0.468519	-0.074147
1782895633.805758	0.285107	-0.243746	0.454457	-0.065880
1782895633.840567	0.274069	-0.231083	0.464571	-0.060577
1782895633.876611	0.266908	-0.177643	0.438098	-0.052622
1782895633.913556	0.257596	-0.159764	0.403276	-0.045855
1782895633.959917	0.252610	-0.101069	0.403350	-0.041479
1782895633.993421	0.249135	-0.076397	0.389359	-0.034494
1782895634.032420	0.250251	-0.031686	0.376124	-0.033600
1782895634.077825	0.254231	0.018608	0.367895	-0.027165
