relative_time_s,absolute_time_s,state_cost,control_cost,total_cost,x_err,y_err,z_err,roll_err,pitch_err,yaw_err,vx_err,vy_err,vz_err,u_roll_rate,u_pitch_rate,u_yaw_rate,u_thrust
0,1782824383,27.23414391,9.989698907,37.22384282,-2.129678,-0.082815,0.414363,0.003248,0.00739,1.039947,0.02261,0.057523,0.252946,0,-0.109286,3.141593,-0.32886
0.01404595375,1782824383,27.29746057,9.987079564,37.28454014,-2.129962,-0.082635,0.417597,0.000747,0.008239,1.041679,0.02261,0.057523,0.252946,0,-0.094675,3.141593,-0.329408
0.0288310051,1782824383,27.34295022,9.994222905,37.33717313,-2.130199,-0.081968,0.42036,0.006698,0.00487,1.039272,0.031062,0.056379,0.24616,0,-0.12887,3.141593,-0.328647
0.04296898842,1782824383,27.38961554,9.988169208,37.37778475,-2.130237,-0.081506,0.423012,0.004073,0.00867,1.039872,0.043973,0.062963,0.247694,0,-0.102125,3.141593,-0.328836
0.05656290054,1782824383,27.42720173,9.983243882,37.41044561,-2.130312,-0.080772,0.425083,0.001188,0.021241,1.040472,0.07034,0.069516,0.243283,0,-0.073343,3.141593,-0.329026
0.07143998146,1782824383,27.45908484,9.980435701,37.43952055,-2.12936,-0.077969,0.428706,-0.000426,0.062482,1.036704,0.07034,0.069516,0.243283,0,-0.057908,3.141593,-0.327835
0.08486199379,1782824383,27.48714909,9.985097046,37.47224613,-2.129506,-0.076954,0.430154,0.00201,0.083827,1.037043,0.073558,0.057535,0.242442,0,-0.089132,3.141593,-0.327942
0.09935998917,1782824383,27.48902827,9.987259247,37.47628751,-2.128765,-0.075507,0.431311,0.006655,0.102976,1.037081,0.098039,0.064725,0.193755,0,-0.100493,3.141593,-0.327954
0.1141688824,1782824383,27.50205137,9.982093778,37.48414514,-2.127982,-0.072364,0.433369,0.003127,0.14333,1.034876,0.098039,0.064725,0.193755,0,-0.073417,3.141593,-0.327257
0.1274068356,1782824383,27.49611103,9.979732485,37.47584351,-2.127464,-0.06996,0.43382,0.003267,0.169571,1.034407,0.111317,0.072607,0.157707,0,-0.055913,3.141593,-0.327108
0.1414909363,1782824383,27.48532869,9.98248452,37.46781321,-2.12683,-0.068547,0.433876,0.004503,0.186183,1.035433,0.170536,0.06316,0.097016,0,-0.07527,3.141593,-0.327433
0.1549830437,1782824383,27.46395679,9.984504429,37.44846121,-2.126165,-0.066021,0.433439,0.006516,0.21223,1.035046,0.231586,0.058849,0.05911,0,-0.088125,3.141593,-0.32731
0.1704208851,1782824384,27.38609449,9.97930763,37.36540212,-2.124363,-0.061678,0.431393,0.002245,0.259513,1.033291,0.231586,0.058849,0.05911,0,-0.05415,3.141593,-0.326755
0.1835930347,1782824384,27.35586892,9.988408618,37.34427753,-2.123777,-0.059056,0.429923,0.01296,0.280771,1.036926,0.246376,0.060653,0.024054,0,-0.106209,3.141593,-0.327905
0.1976380348,1782824384,27.28006278,9.9801158,37.26017858,-2.122348,-0.056241,0.427384,0.007709,0.30534,1.034349,0.309581,0.067201,-0.024086,0,-0.059341,3.141593,-0.32709
