时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782832724.443991	0.000000	0.000270	3.115507	-0.269570
1782832724.459073	0.000000	0.009736	3.123283	-0.269570
1782832724.472815	0.000000	0.035940	3.115195	-0.269792
1782832724.486095	0.000000	0.046002	3.092124	-0.270361
1782832724.499514	0.000000	0.042725	2.994857	-0.269213
1782832724.514186	0.000000	0.057090	2.806103	-0.269423
1782832724.527649	0.000000	0.048556	2.668988	-0.268161
1782832724.542939	0.000000	0.055391	2.521095	-0.269411
1782832724.559285	0.000000	0.073456	2.285848	-0.266937
1782832724.574630	0.000000	0.063646	2.088109	-0.265964
1782832724.588179	0.000000	0.038565	1.910868	-0.265957
1782832724.604997	0.000000	0.056595	1.669693	-0.264516
1782832724.618372	0.000000	0.079159	1.582729	-0.263040
1782832724.632764	0.000000	0.071311	1.508095	-0.263040
1782832724.647304	0.000000	0.058603	1.291746	-0.262222
1782832724.661659	0.000000	0.056169	1.129037	-0.262967
1782832724.675650	0.000000	0.040198	0.910318	-0.261845
1782832724.691156	0.000000	0.049265	0.874629	-0.261850
1782832724.709038	0.000000	0.063380	0.710429	-0.261237
1782832724.725970	0.020038	0.077519	0.562990	-0.259172
1782832724.739793	0.068845	0.111985	0.442780	-0.259546
1782832724.756023	0.106821	0.129413	0.261739	-0.257047
1782832724.773542	0.118867	0.103405	0.253304	-0.257481
1782832724.795593	0.186809	0.145399	0.157538	-0.254814
1782832724.811802	0.238622	0.156641	0.032022	-0.253493
1782832724.828005	0.283133	0.173349	-0.009354	-0.252295
1782832724.853619	0.355382	0.202608	-0.095571	-0.251106
1782832724.870342	0.414004	0.167433	-0.168648	-0.249642
1782832724.886231	0.476451	0.245029	-0.194336	-0.247133
1782832724.899776	0.495764	0.221755	-0.171213	-0.246702
1782832724.917513	0.507477	0.247303	-0.218075	-0.244952
1782832724.931701	0.529740	0.282229	-0.220568	-0.243629
1782832724.948828	0.529740	0.306986	-0.241580	-0.243176
1782832724.963267	0.529740	0.328219	-0.278813	-0.241752
1782832724.976780	0.529740	0.332313	-0.221657	-0.239859
1782832724.990002	0.529740	0.369276	-0.241946	-0.238761
1782832725.005094	0.503617	0.388424	-0.195841	-0.237245
1782832725.022527	0.449280	0.381496	-0.186742	-0.236679
1782832725.038854	0.381563	0.396701	-0.221299	-0.236679
1782832725.064425	0.343052	0.473351	-0.146119	-0.232394
1782832725.080393	0.346912	0.492845	-0.120049	-0.230627
1782832725.106392	0.233841	0.521376	-0.093474	-0.227836
1782832725.121635	0.189021	0.527078	-0.118409	-0.227836
1782832725.144036	0.158667	0.556066	-0.119978	-0.225421
1782832725.157450	0.124342	0.550263	-0.085231	-0.223977
1782832725.171512	0.119765	0.564813	-0.076904	-0.222974
1782832725.188617	0.115438	0.534795	-0.054575	-0.221630
1782832725.205106	0.113608	0.498836	-0.051916	-0.219536
1782832725.218883	0.130914	0.489496	-0.046351	-0.219536
1782832725.234279	0.121887	0.486580	-0.029285	-0.217643
1782832725.247828	0.150119	0.436154	-0.039207	-0.217413
1782832725.262622	0.180640	0.416788	-0.039397	-0.216477
1782832725.277722	0.175519	0.426783	-0.036658	-0.216262
1782832725.294455	0.194775	0.345357	-0.057062	-0.215757
1782832725.308076	0.236243	0.330037	-0.008001	-0.213554
1782832725.323983	0.273909	0.295016	-0.012875	-0.213554
1782832725.339947	0.292282	0.215112	-0.020381	-0.214050
1782832725.356708	0.336441	0.163358	-0.011260	-0.212733
1782832725.372931	0.339303	0.183174	0.015387	-0.210750
1782832725.387486	0.346380	0.154899	0.023665	-0.210548
1782832725.401086	0.349778	0.162545	0.026555	-0.210756
1782832725.416131	0.372732	0.128147	0.049209	-0.209099
1782832725.429663	0.374894	0.090809	0.074483	-0.210035
1782832725.445344	0.371733	0.061098	0.088582	-0.208575
1782832725.458986	0.369127	0.049516	0.104983	-0.207932
1782832725.473552	0.374602	0.035617	0.110194	-0.207250
1782832725.487200	0.349323	0.019346	0.156573	-0.206504
1782832725.502063	0.330926	0.013544	0.174292	-0.206051
1782832725.517060	0.332809	0.039705	0.170260	-0.204568
1782832725.532087	0.274788	-0.034263	0.240620	-0.204568
1782832725.548379	0.274624	-0.020742	0.230319	-0.203730
