时间(s)	位置x(m)	位置y(m)	位置z(m)	欧拉角roll(rad)	欧拉角pitch(rad)	欧拉角yaw(rad)	速度x(m/s)	速度y(m/s)	速度z(m/s)
1782907295.530727	0.297982	-0.727517	1.205888	0.009536	0.010163	-0.073892	0.020760	0.018590	-0.010783
1782907295.549731	0.298184	-0.727485	1.205695	0.006267	0.011202	-0.073888	0.022696	0.015422	-0.021934
1782907295.570184	0.298701	-0.727285	1.205236	0.005837	0.010404	-0.075547	0.016837	0.027070	-0.012331
1782907295.590129	0.299771	-0.727381	1.205102	0.007489	0.010120	-0.084423	0.017794	0.021810	0.020846
1782907295.609982	0.300445	-0.727298	1.206380	0.005710	0.013472	-0.091437	0.021686	0.024375	0.085026
1782907295.630111	0.301141	-0.727552	1.209331	0.007491	0.010904	-0.099772	0.015006	0.023866	0.153684
1782907295.650299	0.301586	-0.727897	1.213999	0.006584	0.009484	-0.107157	0.009429	0.025817	0.224142
1782907295.669623	0.302010	-0.727907	1.216926	0.008172	0.009109	-0.113804	0.005816	0.026449	0.286072
1782907295.691616	0.302606	-0.728104	1.224041	0.008107	0.009443	-0.120334	0.006296	0.027520	0.334153
1782907295.709578	0.303101	-0.728599	1.232368	0.012252	0.006365	-0.129397	0.011413	0.027254	0.378195
1782907295.732190	0.303462	-0.728929	1.241121	0.007730	0.006539	-0.138357	0.003791	0.030650	0.396079
1782907295.750415	0.304242	-0.729550	1.250003	0.007809	0.007737	-0.147634	0.002866	0.022390	0.407671
1782907295.825377	0.304242	-0.729550	1.250003	0.007809	0.007737	-0.147634	-0.001243	0.024265	0.370561
1782907295.892025	0.305291	-0.731904	1.278479	0.014655	0.010082	-0.185486	-0.009119	0.008550	0.163897
1782907295.944857	0.304205	-0.731433	1.284248	-0.056493	-0.035380	-0.217921	-0.032927	0.020660	0.053211
1782907295.994096	0.301952	-0.729115	1.285061	-0.112249	-0.087926	-0.232082	-0.079656	0.063145	-0.081858
1782907296.046221	0.296941	-0.723155	1.278086	-0.167221	-0.144613	-0.244927	-0.178435	0.167651	-0.228782
1782907296.096168	0.289828	-0.713527	1.262543	-0.193599	-0.178807	-0.268052	-0.262223	0.251236	-0.285676
1782907296.147119	0.279374	-0.698542	1.240774	-0.193854	-0.182280	-0.300690	-0.393043	0.357604	-0.315932
1782907296.202761	0.268721	-0.682002	1.220646	-0.173024	-0.170284	-0.323403	-0.479842	0.418057	-0.329041
1782907296.256862	0.255706	-0.661405	1.198268	-0.151570	-0.144718	-0.341620	-0.559186	0.483660	-0.396237
1782907296.316072	0.233487	-0.624196	1.159211	-0.111778	-0.099039	-0.356022	-0.611137	0.515587	-0.482763
1782907296.366188	0.209322	-0.581728	1.113463	-0.075041	-0.045639	-0.355493	-0.626344	0.536559	-0.598772
1782907296.419117	0.197039	-0.559271	1.088613	-0.064408	-0.023874	-0.352654	-0.601491	0.553481	-0.714760
1782907296.473408	0.173499	-0.513082	1.038683	-0.045465	0.012693	-0.347303	-0.573649	0.558792	-0.730683
1782907296.524415	0.159003	-0.482015	1.007398	-0.042571	0.028226	-0.341497	-0.504427	0.569249	-0.655370
1782907296.572683	0.142749	-0.443579	0.974085	-0.029450	0.041017	-0.333773	-0.465998	0.575649	-0.551644
1782907296.631497	0.131898	-0.413317	0.954642	-0.022548	0.043383	-0.325457	-0.430740	0.579049	-0.426784
1782907296.677857	0.118555	-0.369256	0.939439	-0.005808	0.033258	-0.313367	-0.382763	0.573380	-0.218453
1782907296.729724	0.111693	-0.341422	0.938142	0.004511	0.027318	-0.302362	-0.357907	0.567661	-0.088207
1782907296.773722	0.104252	-0.308442	0.944405	0.013296	0.022186	-0.291106	-0.321699	0.555261	0.052036
1782907296.821188	0.100710	-0.289534	0.950610	0.017186	0.021918	-0.283575	-0.299604	0.546061	0.088837
1782907296.877726	0.095339	-0.259281	0.961049	0.040951	0.017009	-0.273678	-0.271861	0.527086	0.068180
1782907296.957667	0.090708	-0.231069	0.968883	0.051132	0.015492	-0.263936	-0.251697	0.491942	-0.028017
1782907297.027930	0.084966	-0.194150	0.969108	0.062602	0.011632	-0.250268	-0.235404	0.450624	-0.150586
1782907297.076995	0.079964	-0.165914	0.960035	0.061843	0.008649	-0.240324	-0.211267	0.382905	-0.278965
1782907297.125912	0.075666	-0.144646	0.946908	0.067835	0.007947	-0.231309	-0.199325	0.350529	-0.338388
1782907297.170012	0.072187	-0.129294	0.934852	0.061432	0.007667	-0.222652	-0.193222	0.308656	-0.341707
1782907297.214533	0.068623	-0.115490	0.923824	0.059792	0.009020	-0.215795	-0.191766	0.283474	-0.304176
1782907297.257610	0.064887	-0.103328	0.915048	0.053311	0.007458	-0.207309	-0.184669	0.258833	-0.244986
1782907297.302672	0.060664	-0.092703	0.909759	0.046217	0.007141	-0.201617	-0.181339	0.235234	-0.161320
1782907297.367598	0.056445	-0.083307	0.908466	0.043249	0.005466	-0.195202	-0.178952	0.216769	-0.068662
1782907297.415095	0.049701	-0.072044	0.913986	0.032952	0.000676	-0.185025	-0.172990	0.176366	0.090403
1782907297.459068	0.045116	-0.065774	0.921232	0.038917	-0.002785	-0.181430	-0.163429	0.155546	0.124503
1782907297.504392	0.040536	-0.060916	0.929369	0.034728	-0.004316	-0.174185	-0.154224	0.128119	0.151855
1782907297.551237	0.035701	-0.056682	0.936349	0.033837	-0.007621	-0.169056	-0.150804	0.096218	0.110260
1782907297.605210	0.031097	-0.053311	0.941442	0.023336	-0.006568	-0.165738	-0.139852	0.061734	0.029364
1782907297.662671	0.025262	-0.049903	0.942643	0.018265	-0.007862	-0.159444	-0.136718	0.043764	-0.048016
1782907297.707063	0.019419	-0.047470	0.938583	0.010998	-0.008554	-0.153363	-0.131818	0.021322	-0.144427
1782907297.752841	0.013670	-0.045510	0.930160	0.003822	-0.007270	-0.147285	-0.134516	0.010327	-0.183074
1782907297.803259	0.010148	-0.044725	0.923839	0.002647	-0.007887	-0.142624	-0.128992	-0.003542	-0.171019
1782907297.896548	0.004883	-0.043695	0.913093	-0.002665	-0.003763	-0.137988	-0.117439	-0.017540	-0.153857
1782907298.011571	-0.004263	-0.042570	0.899126	-0.010562	-0.002330	-0.125204	-0.101322	-0.018550	-0.081094
1782907298.117879	-0.013076	-0.040491	0.895491	-0.023547	0.000796	-0.116548	-0.088076	-0.010122	0.036568
1782907298.165351	-0.020826	-0.036459	0.902954	-0.030172	0.001293	-0.111808	-0.077414	0.004247	0.115845
1782907298.210328	-0.022998	-0.034775	0.906092	-0.024392	-0.001305	-0.111826	-0.079913	0.012534	0.094014
1782907298.257498	-0.026464	-0.031761	0.910965	-0.023648	-0.003169	-0.109861	-0.077167	0.006722	0.099347
1782907298.304444	-0.029312	-0.029307	0.913102	-0.020273	0.000356	-0.107033	-0.067494	0.004432	0.019276
1782907298.348635	-0.032018	-0.026788	0.913002	-0.010398	0.000030	-0.107146	-0.066824	-0.000642	-0.008427
1782907298.429791	-0.035851	-0.023160	0.909981	-0.012780	0.002050	-0.100428	-0.058110	-0.010687	-0.055984
1782907298.469097	-0.039701	-0.019582	0.903745	-0.009241	0.002431	-0.092950	-0.059130	-0.013162	-0.075182
1782907298.513532	-0.041328	-0.018143	0.900610	-0.001941	0.001153	-0.088757	-0.052640	-0.019029	-0.083137
1782907298.558304	-0.043619	-0.016173	0.896156	-0.005635	0.001349	-0.084977	-0.046839	-0.023361	-0.060600
1782907298.603265	-0.045604	-0.014336	0.892477	-0.002400	0.000576	-0.079851	-0.041001	-0.021748	-0.030314
1782907298.650954	-0.047463	-0.012542	0.890219	-0.006374	0.000055	-0.076068	-0.033599	-0.018347	-0.010126
1782907298.697475	-0.048974	-0.010394	0.889047	-0.015008	-0.000255	-0.073352	-0.032689	-0.013014	-0.001982
1782907298.742916	-0.050542	-0.008427	0.888777	-0.012417	-0.000229	-0.070486	-0.025713	-0.006846	0.020842
1782907298.792933	-0.051796	-0.006423	0.889290	-0.012076	-0.002549	-0.068471	-0.021656	-0.009448	0.058767
1782907298.836256	-0.053164	-0.003899	0.891340	-0.008766	-0.001562	-0.064370	-0.017903	-0.004251	0.062646
1782907298.882309	-0.054224	-0.001819	0.893167	-0.006025	0.000525	-0.063668	-0.014297	-0.005786	0.052888
1782907298.929356	-0.054870	0.000138	0.894492	-0.003998	-0.002119	-0.060619	-0.004834	-0.013435	0.050717
1782907298.975379	-0.055435	0.001731	0.895366	-0.003359	-0.004989	-0.059292	-0.003052	-0.011197	0.020561
1782907299.024574	-0.055852	0.003321	0.895354	0.001570	-0.005495	-0.054782	0.000506	-0.018135	0.006689
1782907299.076573	-0.056694	0.005401	0.894515	-0.000697	-0.006946	-0.052498	-0.004515	-0.016863	0.007074
1782907299.125898	-0.057102	0.006308	0.893366	-0.003098	-0.010228	-0.049892	0.001533	-0.024731	-0.003577
1782907299.184312	-0.057724	0.007434	0.891887	-0.001420	-0.009731	-0.045475	0.000439	-0.026249	0.000800
1782907299.231358	-0.058565	0.008262	0.890730	-0.001217	-0.008891	-0.043916	-0.002477	-0.029584	0.019239
1782907299.273783	-0.059063	0.008695	0.890273	-0.004240	-0.006459	-0.041334	-0.007017	-0.025213	0.020003
1782907299.326740	-0.059824	0.009300	0.890455	-0.000099	-0.008598	-0.038476	-0.010055	-0.027352	0.026974
1782907299.373958	-0.060929	0.009464	0.891170	-0.006664	-0.007072	-0.035705	-0.005489	-0.031070	0.030345
1782907299.424786	-0.061885	0.009673	0.892629	-0.003903	-0.008000	-0.033612	-0.006859	-0.031835	0.060949
1782907299.473573	-0.062820	0.009799	0.894493	-0.007358	-0.007652	-0.029847	-0.007172	-0.030282	0.053064
1782907299.528431	-0.064034	0.009578	0.896249	-0.003544	-0.007671	-0.029240	-0.011369	-0.026765	0.041114
1782907299.572094	-0.065367	0.009263	0.897767	-0.003685	-0.009444	-0.024655	-0.009353	-0.033432	0.033233
1782907299.627776	-0.066259	0.008886	0.898439	-0.003390	-0.009190	-0.021738	-0.010113	-0.032905	0.035819
1782907299.675206	-0.067518	0.008404	0.898379	-0.002563	-0.005265	-0.019875	-0.014556	-0.030381	0.001241
1782907299.725545	-0.068759	0.007867	0.897792	-0.002780	-0.008064	-0.016076	-0.009999	-0.037920	0.011597
1782907299.773097	-0.070130	0.007119	0.896931	-0.001349	-0.007775	-0.014129	-0.010676	-0.036986	0.008296
1782907299.825567	-0.071010	0.006567	0.896332	-0.004941	-0.006411	-0.013794	-0.014062	-0.032361	-0.012404
1782907299.878916	-0.072522	0.005310	0.894499	-0.008043	-0.005959	-0.012355	-0.010380	-0.035539	-0.025923
1782907299.931892	-0.073995	0.004404	0.893115	-0.009328	-0.003927	-0.009919	-0.015049	-0.031370	-0.000985
1782907299.979279	-0.075726	0.003360	0.892399	-0.010162	-0.003960	-0.008310	-0.016085	-0.028142	0.010180
1782907300.032568	-0.076945	0.002808	0.892490	-0.005176	-0.004004	-0.006765	-0.017813	-0.025448	0.019616
1782907300.086573	-0.078313	0.001763	0.893339	-0.008883	-0.001500	-0.006172	-0.018177	-0.024207	0.019417
1782907300.139992	-0.079965	0.000669	0.894422	-0.004759	-0.002302	-0.005461	-0.014598	-0.026216	0.023373
1782907300.206206	-0.080999	-0.000211	0.895269	-0.002670	-0.002107	-0.003922	-0.015792	-0.029727	0.043438
1782907300.254236	-0.082860	-0.002068	0.897618	-0.002174	-0.003228	-0.001729	-0.012500	-0.028724	0.034360
1782907300.334514	-0.083519	-0.002990	0.898582	-0.004064	-0.001917	0.000700	-0.015557	-0.028395	0.043884
1782907300.393953	-0.085447	-0.005543	0.900214	-0.006921	-0.000918	0.000453	-0.006996	-0.036344	0.015912
1782907300.438642	-0.086216	-0.007419	0.899641	0.003223	-0.004678	0.001897	-0.011100	-0.034895	-0.005749
1782907300.481868	-0.086906	-0.009115	0.898867	0.001873	-0.006960	0.003111	-0.009061	-0.040085	0.009094
1782907300.533743	-0.087722	-0.010747	0.898233	-0.000499	-0.007096	0.004090	-0.007986	-0.040872	0.003983
1782907300.583389	-0.088638	-0.012768	0.897548	-0.005156	-0.005415	0.004729	-0.008320	-0.038641	-0.008444
1782907300.629081	-0.089077	-0.014799	0.896635	-0.008343	-0.003519	0.004619	-0.006180	-0.038804	-0.018238
1782907300.686327	-0.089730	-0.016460	0.895654	-0.012697	-0.002098	0.004695	-0.010879	-0.032164	-0.013689
1782907300.735749	-0.090603	-0.018719	0.893896	-0.014873	-0.003745	0.003115	-0.008543	-0.025914	-0.015414
1782907300.786730	-0.091114	-0.020183	0.893709	-0.013393	-0.004663	0.002506	-0.005440	-0.027596	0.015024
1782907300.834848	-0.091715	-0.021815	0.894519	-0.013778	-0.003659	0.004247	-0.004556	-0.022988	0.049556
1782907300.936792	-0.092000	-0.022843	0.896166	-0.014864	-0.000828	0.003758	-0.004861	-0.016004	0.061234
1782907301.056586	-0.092583	-0.024988	0.902200	-0.013873	0.004708	0.004625	0.000325	-0.007824	0.068563
1782907301.139081	-0.091714	-0.026836	0.905459	-0.011321	0.006631	0.003900	0.017954	-0.009163	0.020347
1782907301.183431	-0.090681	-0.027838	0.903013	-0.008636	0.004404	0.002567	0.025729	-0.004236	-0.068384
1782907301.229767	-0.089703	-0.028566	0.900384	-0.006751	0.002827	0.003637	0.028028	-0.006057	-0.050289
1782907301.276192	-0.088372	-0.029027	0.896762	-0.013262	0.000908	0.003726	0.032214	-0.004643	-0.062000
1782907301.332850	-0.086934	-0.029585	0.894573	-0.007849	-0.000718	0.004095	0.032055	-0.004341	-0.032622
1782907301.386942	-0.085788	-0.030052	0.893678	-0.010731	-0.002022	0.005003	0.035189	0.001827	0.007907
1782907301.455891	-0.083884	-0.030868	0.894304	-0.007425	-0.005012	0.002188	0.031286	0.004314	0.013225
1782907301.507059	-0.082065	-0.031298	0.896224	-0.006322	-0.007997	-0.001877	0.030870	0.004545	0.048542
1782907301.552727	-0.080998	-0.032071	0.898368	-0.009133	-0.011016	-0.002251	0.033066	0.002416	0.044160
1782907301.598975	-0.080106	-0.032368	0.899650	-0.003105	-0.012273	-0.003917	0.024350	0.008109	0.023719
1782907301.644781	-0.079350	-0.033214	0.901039	0.001516	-0.016440	-0.007215	0.023133	-0.001877	0.022257
