时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782912874.791649	0.015836	-1.761460	-0.687225	-0.196718
1782912874.850686	0.017125	-1.767118	-0.689481	-0.200435
1782912874.902411	0.000000	-1.304165	-0.229908	-0.102571
1782912874.953462	0.091324	-0.503670	0.253237	0.008834
1782912875.010799	0.179476	0.109958	0.591684	0.094031
1782912875.064895	0.203072	0.518890	0.799262	0.134305
1782912875.115400	0.200256	0.715817	0.943831	0.164251
1782912875.170549	0.199733	0.748412	0.972547	0.186801
1782912875.223821	0.207523	0.703969	0.998621	0.183577
1782912875.273797	0.226735	0.544081	0.856032	0.147008
1782912875.331969	0.255558	0.419639	0.685578	0.106362
1782912875.381310	0.308731	0.244652	0.442385	0.061160
1782912875.431586	0.341971	0.120901	0.277054	0.040708
1782912875.480636	0.364633	0.074472	0.210273	0.030346
1782912875.536926	0.364550	0.055589	0.181246	0.030113
1782912875.589194	0.334993	-0.006689	0.222112	0.031151
1782912875.673935	0.284970	-0.003480	0.257895	0.033905
1782912875.722264	0.226752	0.012010	0.317048	0.027440
1782912875.768932	0.193019	0.032725	0.312824	0.021129
1782912875.816417	0.190491	0.036457	0.302272	0.017116
1782912875.869872	0.196100	0.032636	0.280476	0.012705
1782912875.923458	0.224219	0.032742	0.252589	0.013124
1782912875.973714	0.261124	-0.018075	0.235638	0.010933
1782912876.080141	0.286107	-0.017481	0.212592	0.011290
1782912876.135020	0.325651	-0.069361	0.239313	0.010133
1782912876.181514	0.328108	-0.091738	0.237546	0.009064
1782912876.229227	0.314812	-0.119306	0.267192	0.008704
1782912876.270069	0.304923	-0.093417	0.300557	0.006274
1782912876.315099	0.283199	-0.088724	0.294694	0.003610
1782912876.368782	0.262782	-0.089426	0.267416	-0.000889
1782912876.415302	0.240554	-0.108084	0.262989	-0.004979
1782912876.476489	0.231681	-0.081231	0.274167	-0.007694
1782912876.550441	0.226340	-0.077816	0.248062	-0.008253
1782912876.594504	0.244586	-0.071018	0.205219	-0.009251
1782912876.645192	0.258204	-0.107504	0.194493	-0.011497
1782912876.696591	0.272277	-0.097422	0.165301	-0.013747
1782912876.776470	0.284468	-0.084800	0.147458	-0.015086
1782912876.831024	0.293873	-0.085757	0.165317	-0.019031
1782912876.884383	0.293848	-0.039731	0.183862	-0.019659
1782912876.937759	0.286728	0.002184	0.186112	-0.022675
1782912876.992285	0.272741	0.009728	0.192884	-0.022031
1782912877.038662	0.259378	0.044271	0.199977	-0.022487
1782912877.126617	0.250149	0.069918	0.191227	-0.022230
1782912877.195280	0.235165	0.079632	0.220598	-0.021794
1782912877.241194	0.234838	0.043196	0.239693	-0.023241
1782912877.293904	0.237953	0.025817	0.239955	-0.024012
1782912877.338280	0.253132	0.005395	0.242059	-0.024667
1782912877.388329	0.265022	-0.011219	0.229827	-0.026488
1782912877.440251	0.278778	-0.000945	0.218957	-0.027457
1782912877.492973	0.283117	-0.002022	0.238892	-0.029439
1782912877.545459	0.285774	0.008466	0.236558	-0.031483
1782912877.598267	0.285374	0.036584	0.223144	-0.034160
1782912877.650071	0.278876	0.013508	0.241670	-0.034404
1782912877.696806	0.266205	-0.006138	0.241978	-0.034150
1782912877.747983	0.258372	0.029687	0.249234	-0.035604
1782912877.806803	0.248792	-0.010004	0.249274	-0.036608
1782912877.885116	0.245183	0.004917	0.255084	-0.038038
1782912877.939882	0.244894	-0.011014	0.262663	-0.040342
1782912877.995789	0.251018	-0.051526	0.248867	-0.042590
1782912878.055008	0.263417	-0.028400	0.257335	-0.044902
1782912878.102574	0.269408	-0.034693	0.234408	-0.047724
1782912878.152858	0.277898	-0.035258	0.252694	-0.049266
1782912878.198873	0.279386	-0.026796	0.251815	-0.052487
1782912878.246602	0.279491	-0.031228	0.230648	-0.053377
1782912878.298686	0.272921	-0.060056	0.225263	-0.054607
1782912878.353613	0.267258	-0.062372	0.248769	-0.055688
1782912878.405830	0.257738	-0.056595	0.233687	-0.057111
1782912878.462941	0.253964	-0.041040	0.229855	-0.056868
1782912878.512320	0.251008	-0.040322	0.231807	-0.058991
1782912878.567716	0.250088	-0.043567	0.239719	-0.061023
1782912878.640893	0.256142	-0.058951	0.228274	-0.064416
1782912878.691103	0.262579	-0.054185	0.226112	-0.066666
1782912878.738722	0.267521	-0.082049	0.232912	-0.068400
1782912878.784423	0.272478	-0.063964	0.254177	-0.071158
1782912878.833671	0.273358	-0.053434	0.258326	-0.072237
1782912878.877248	0.274556	-0.063143	0.257377	-0.073188
1782912878.955595	0.269413	-0.058381	0.265372	-0.073691
1782912879.009364	0.264025	-0.030327	0.252690	-0.072945
1782912879.135297	0.256213	-0.040000	0.245166	-0.071350
1782912879.220707	0.250925	-0.040045	0.258238	-0.073768
1782912879.271959	0.247523	-0.027285	0.280777	-0.075163
1782912879.326937	0.252712	-0.017032	0.302422	-0.077067
1782912879.381507	0.259584	-0.010305	0.302790	-0.078513
1782912879.434767	0.263638	0.008365	0.302948	-0.079011
1782912879.482431	0.272315	0.001310	0.316941	-0.080734
1782912879.532122	0.272337	0.003763	0.330352	-0.081671
1782912879.594945	0.274463	-0.009562	0.334790	-0.081136
1782912879.650112	0.271495	0.019082	0.317489	-0.078878
1782912879.701157	0.267952	0.003308	0.307616	-0.076861
1782912879.755719	0.262901	0.004627	0.291691	-0.076675
1782912879.810945	0.260716	0.012149	0.274476	-0.074734
1782912879.861387	0.257440	0.006578	0.242190	-0.072780
1782912879.913798	0.257487	-0.009061	0.236542	-0.073428
1782912879.965105	0.255688	-0.029648	0.225752	-0.073803
1782912880.022761	0.261513	-0.049027	0.210511	-0.074429
1782912880.075852	0.265041	-0.074977	0.217997	-0.076567
1782912880.215430	0.265371	-0.082107	0.214328	-0.076751
1782912880.283772	0.271394	-0.058501	0.216060	-0.076777
1782912880.332861	0.267824	-0.059271	0.214559	-0.075306
1782912880.377389	0.266425	-0.066095	0.219646	-0.075474
1782912880.420913	0.266300	-0.034134	0.224255	-0.075153
1782912880.465616	0.260779	-0.017838	0.225213	-0.072792
1782912880.518830	0.262030	-0.023966	0.233069	-0.073364
