时间(s)	位置x(m)	位置y(m)	位置z(m)	欧拉角roll(rad)	欧拉角pitch(rad)	欧拉角yaw(rad)	速度x(m/s)	速度y(m/s)	速度z(m/s)
1782912852.332864	0.284703	-0.660953	1.191624	0.009565	0.035773	-0.071080	-0.015369	0.017850	-0.002677
1782912852.349643	0.284317	-0.660191	1.192123	0.009601	0.036442	-0.071028	-0.014176	0.018960	0.009437
1782912852.369713	0.283791	-0.659641	1.192048	0.008441	0.036666	-0.068907	-0.012528	0.018670	0.017465
1782912852.390095	0.283572	-0.659217	1.192276	0.011766	0.037014	-0.066740	-0.012528	0.018670	0.017465
1782912852.409655	0.283440	-0.658824	1.194088	0.008493	0.036126	-0.063971	-0.014960	0.019512	0.132502
1782912852.429991	0.283003	-0.658309	1.197294	0.016663	0.032262	-0.062999	-0.018652	0.021000	0.186470
1782912852.449668	0.282384	-0.657566	1.201981	0.011362	0.032176	-0.060308	-0.021418	0.023929	0.245313
1782912852.470887	0.282026	-0.657040	1.208482	0.010668	0.033194	-0.057208	-0.026498	0.029753	0.315837
1782912852.490850	0.281907	-0.656791	1.212421	0.016198	0.029749	-0.057465	-0.026465	0.032426	0.364537
1782912852.509854	0.281273	-0.656266	1.220844	0.012233	0.031171	-0.054271	-0.026465	0.032426	0.364537
1782912852.529437	0.281184	-0.656117	1.225268	0.015875	0.029922	-0.051818	-0.033038	0.031950	0.421131
1782912852.550305	0.280624	-0.655324	1.234367	0.014147	0.027976	-0.048669	-0.036579	0.033908	0.403582
1782912852.569285	0.280354	-0.655215	1.238909	0.019267	0.028678	-0.047578	-0.039318	0.046976	0.412262
1782912852.592805	0.278912	-0.654026	1.252802	-0.007139	0.010371	-0.052078	-0.050411	0.051603	0.403482
1782912852.609578	0.278338	-0.653323	1.257687	-0.023529	-0.001878	-0.054598	-0.058133	0.049856	0.401872
1782912852.629595	0.275852	-0.651357	1.271952	-0.058395	-0.034735	-0.060362	-0.059427	0.058399	0.374726
1782912852.651933	0.274111	-0.649603	1.279896	-0.079579	-0.056409	-0.064119	-0.068056	0.058570	0.326950
1782912852.670134	0.273262	-0.648732	1.283652	-0.090890	-0.065666	-0.067461	-0.081498	0.067691	0.264630
1782912852.690820	0.271952	-0.647533	1.286590	-0.096126	-0.071803	-0.067257	-0.100804	0.084804	0.194957
1782912852.710761	0.268153	-0.643972	1.293030	-0.116062	-0.091504	-0.072605	-0.100804	0.084804	0.194957
1782912852.729095	0.266659	-0.642608	1.294226	-0.129305	-0.094764	-0.074291	-0.145429	0.134431	0.064683
1782912852.749220	0.261971	-0.637769	1.294710	-0.142997	-0.107431	-0.081327	-0.180892	0.163190	-0.021998
1782912852.770484	0.261971	-0.637769	1.294710	-0.142997	-0.107431	-0.081327	-0.192720	0.183017	-0.093504
1782912852.789312	0.256291	-0.631797	1.290367	-0.151809	-0.111923	-0.089449	-0.192720	0.183017	-0.093504
1782912852.809153	0.252268	-0.627472	1.284821	-0.158275	-0.109894	-0.094967	-0.244533	0.241636	-0.245036
1782912852.829392	0.247575	-0.622412	1.277002	-0.162869	-0.109722	-0.101012	-0.278242	0.280425	-0.338096
1782912852.848900	0.242788	-0.617189	1.266761	-0.162115	-0.109467	-0.105460	-0.293983	0.304880	-0.415234
1782912852.869654	0.237574	-0.611086	1.254796	-0.160826	-0.101612	-0.110404	-0.320693	0.325058	-0.481574
1782912852.889001	0.235011	-0.608227	1.247799	-0.161999	-0.099791	-0.115175	-0.351293	0.368054	-0.592838
1782912852.909028	0.229535	-0.601285	1.232507	-0.156244	-0.095649	-0.118051	-0.351293	0.368054	-0.592838
1782912852.931242	0.223531	-0.594300	1.214653	-0.154476	-0.088662	-0.123356	-0.374763	0.408675	-0.733078
1782912852.949385	0.217566	-0.586986	1.194676	-0.148000	-0.081798	-0.128509	-0.395712	0.435720	-0.829351
1782912852.969326	0.211205	-0.578957	1.172294	-0.148450	-0.072685	-0.135382	-0.404409	0.451910	-0.906926
1782912852.991194	0.207876	-0.574712	1.160940	-0.147324	-0.065860	-0.135331	-0.404409	0.451910	-0.906926
1782912853.009749	0.201428	-0.566289	1.135569	-0.139999	-0.062089	-0.140974	-0.434174	0.504580	-1.096795
1782912853.030310	0.194326	-0.557089	1.109136	-0.128717	-0.052390	-0.143877	-0.434174	0.504580	-1.096795
1782912853.049533	0.187566	-0.547274	1.082108	-0.125668	-0.045154	-0.147651	-0.433934	0.527536	-1.148210
1782912853.069967	0.180353	-0.536969	1.055251	-0.117259	-0.037316	-0.151634	-0.444004	0.549384	-1.126549
1782912853.089556	0.176573	-0.531433	1.042441	-0.117366	-0.033868	-0.153981	-0.444004	0.549384	-1.126549
1782912853.109688	0.169073	-0.520120	1.018315	-0.110317	-0.027793	-0.157513	-0.443765	0.576375	-0.965161
1782912853.129539	0.161502	-0.507734	0.997427	-0.103915	-0.021157	-0.162085	-0.452031	0.594045	-0.830885
1782912853.152219	0.153676	-0.494838	0.980369	-0.089941	-0.017823	-0.164941	-0.453313	0.604763	-0.689561
1782912853.170242	0.146151	-0.481152	0.967428	-0.081303	-0.014814	-0.166796	-0.453463	0.622889	-0.534754
1782912853.191372	0.142039	-0.474315	0.962856	-0.080067	-0.011458	-0.166513	-0.443918	0.644415	-0.281525
1782912853.209202	0.134911	-0.459297	0.955793	-0.079101	-0.005685	-0.169513	-0.446188	0.640031	-0.145517
1782912853.229209	0.127085	-0.444665	0.953502	-0.053577	-0.003074	-0.169143	-0.447299	0.635450	-0.084359
1782912853.250418	0.120290	-0.428928	0.953522	-0.060119	0.008346	-0.166655	-0.432373	0.662885	0.086688
