时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782912362.619041	0.000000	1.140308	-1.235752	-0.156586
1782912362.636340	0.000000	1.014685	-1.191333	-0.156592
1782912362.656763	0.000000	1.091858	-1.153523	-0.157383
1782912362.676884	0.000000	1.097308	-1.098919	-0.157320
1782912362.700053	0.000000	0.974193	-0.909115	-0.158093
1782912362.717173	0.000000	0.929973	-0.749741	-0.159048
1782912362.736928	0.000000	0.742837	-0.552695	-0.159530
1782912362.756623	0.000000	0.650396	-0.361065	-0.160102
1782912362.776338	0.000000	0.605930	-0.287435	-0.160278
1782912362.796171	0.000000	0.461119	-0.123984	-0.159857
1782912362.816509	0.000000	0.399118	0.026400	-0.160576
1782912362.836127	0.000000	0.240274	0.189840	-0.160164
1782912362.856232	0.000000	0.185658	0.310838	-0.160314
1782912362.876788	0.000000	0.065360	0.430909	-0.161032
1782912362.896728	0.000000	-0.038760	0.593937	-0.161865
1782912362.916891	0.000000	-0.139787	0.738258	-0.164291
1782912362.936416	0.000000	-0.202225	0.904511	-0.167911
1782912362.956469	0.000000	-0.248225	1.022649	-0.169471
1782912362.976742	0.000000	-0.330613	1.158682	-0.172955
1782912362.996568	0.000000	-0.307157	1.280004	-0.176633
1782912363.016900	0.000000	-0.363964	1.393368	-0.180091
1782912363.036633	0.000000	-0.351264	1.463082	-0.182587
1782912363.056869	0.000000	-0.389441	1.531065	-0.184668
1782912363.077959	0.000000	-0.407428	1.568579	-0.185036
1782912363.096411	0.000000	-0.413733	1.596205	-0.186481
1782912363.117928	0.000000	-0.433406	1.587157	-0.187279
1782912363.136422	0.000000	-0.449066	1.568195	-0.187110
1782912363.156292	0.000000	-0.493797	1.514638	-0.186862
1782912363.180150	0.000000	-0.524594	1.517612	-0.186739
1782912363.199748	0.000000	-0.533462	1.478901	-0.185578
1782912363.216618	0.000000	-0.550704	1.365659	-0.184585
1782912363.236914	0.000000	-0.547727	1.294486	-0.183620
1782912363.256304	0.000000	-0.555835	1.204561	-0.182356
1782912363.276517	0.000000	-0.576335	1.163119	-0.181382
1782912363.297715	0.000000	-0.554975	1.054010	-0.179466
1782912363.318173	0.000000	-0.531839	0.959300	-0.177741
1782912363.336797	0.000000	-0.491242	0.863142	-0.175906
1782912363.356389	0.000000	-0.463674	0.754498	-0.173368
1782912363.376837	0.000000	-0.449169	0.673213	-0.172076
1782912363.397123	0.000000	-0.411276	0.595698	-0.169643
1782912363.416283	0.000000	-0.391896	0.490034	-0.167761
1782912363.436381	0.000000	-0.330008	0.399970	-0.164951
1782912363.456528	0.036739	-0.310929	0.326616	-0.162426
1782912363.476095	0.103926	-0.290073	0.259319	-0.161205
1782912363.496239	0.198544	-0.222027	0.198882	-0.158355
1782912363.516645	0.291732	-0.201401	0.140995	-0.155851
1782912363.536456	0.390800	-0.147915	0.093578	-0.153332
1782912363.556940	0.455657	-0.114351	0.037949	-0.151697
1782912363.578468	0.529740	-0.083139	0.016130	-0.149088
