时间(s)	位置x(m)	位置y(m)	位置z(m)	欧拉角roll(rad)	欧拉角pitch(rad)	欧拉角yaw(rad)	速度x(m/s)	速度y(m/s)	速度z(m/s)
1763642210.169501	-0.655665	0.015817	1.334479	0.007104	0.022649	0.005276	-0.000441	0.002812	-0.021312
1763642210.205048	-0.654007	0.019286	1.333301	0.002756	0.023334	0.003972	-0.005620	0.013069	-0.016986
1763642210.231674	-0.653682	0.020027	1.333170	0.001998	0.023380	0.004150	-0.012137	0.004345	-0.025693
1763642210.264749	-0.653498	0.020342	1.333185	-0.001435	0.023901	0.006487	-0.004398	0.016435	-0.045737
1763642210.293401	-0.653103	0.020940	1.332973	-0.014764	0.025710	0.016844	-0.009392	0.021860	-0.121095
1763642210.320382	-0.652634	0.021670	1.330896	-0.024824	0.028749	0.029737	-0.000345	0.028825	-0.217349
1763642210.345135	-0.652098	0.022578	1.325451	-0.034204	0.030588	0.043721	-0.000224	0.050365	-0.324341
1763642210.372608	-0.651797	0.023122	1.321324	-0.038614	0.032171	0.051691	0.002337	0.073744	-0.433714
1763642210.396530	-0.651050	0.024328	1.309886	-0.047866	0.035695	0.067616	0.003640	0.085744	-0.485572
1763642210.424020	-0.650691	0.025008	1.302813	-0.051959	0.036340	0.076834	0.018057	0.106380	-0.517727
1763642210.452749	-0.650157	0.026725	1.286929	-0.058630	0.037565	0.095554	-0.003495	0.112187	-0.538417
1763642210.477494	-0.649421	0.028989	1.269897	-0.058630	0.035637	0.114120	0.016572	0.148718	-0.485554
1763642210.503954	-0.649159	0.030387	1.261643	-0.059283	0.033516	0.124829	0.023960	0.175229	-0.396922
1763642210.532404	-0.648356	0.033690	1.246691	-0.056781	0.029694	0.145516	0.020677	0.175003	-0.329530
1763642210.557584	-0.647956	0.035687	1.240294	-0.055784	0.028092	0.155891	0.027571	0.172975	-0.231973
1763642210.586341	-0.647330	0.040218	1.230677	-0.047052	0.023563	0.176541	0.039583	0.195683	-0.110991
1763642210.612334	-0.647064	0.042843	1.227321	-0.044950	0.022064	0.186724	0.029772	0.227751	-0.027424
1763642210.646524	-0.646438	0.048733	1.223532	-0.036766	0.020590	0.205234	0.024879	0.218552	0.016334
