时间(s)	位置x(m)	位置y(m)	位置z(m)	欧拉角roll(rad)	欧拉角pitch(rad)	欧拉角yaw(rad)	速度x(m/s)	速度y(m/s)	速度z(m/s)
1763642216.214739	-0.591183	0.042115	1.290710	0.014617	0.270253	1.020430	0.278185	0.054574	-0.256035
1763642216.241122	-0.590410	0.044947	1.288492	0.015729	0.290944	1.017192	0.278185	0.054574	-0.256035
1763642216.278438	-0.590410	0.054947	1.288492	0.015729	0.290944	1.017192	0.308558	0.065557	-0.304053
1763642216.311442	-0.589508	0.058052	1.284780	0.015553	0.307860	1.013950	0.370942	0.059919	-0.401921
1763642216.342332	-0.594928	0.065945	1.282388	0.116899	0.287700	0.799798	0.383796	-0.089561	-0.004189
1763642216.369788	-0.596235	0.071992	1.279223	0.113942	0.308400	0.749868	0.461314	-0.089368	-0.022382
1763642216.402029	-0.584999	0.078971	1.274464	0.104299	0.317098	0.701054	0.566900	-0.096085	-0.065164
1763642216.431328	-0.571426	0.086991	1.273481	0.091834	0.313122	0.654549	0.653939	-0.088336	-0.127518
1763642216.453974	-0.563733	0.091256	1.272886	0.087017	0.306106	0.634206	0.702836	-0.089252	-0.193908
1763642216.484339	-0.547200	0.100260	1.261318	0.078345	0.286153	0.595188	0.770169	-0.100525	-0.288440
1763642216.506526	-0.538140	0.104991	1.254208	0.073907	0.273666	0.577246	0.823770	-0.075993	-0.394649
1763642216.549347	-0.518921	0.114770	1.237295	0.068371	0.242733	0.544722	0.854000	-0.077873	-0.459007
1763642216.570481	-0.487114	0.130227	1.205859	0.061412	0.190491	0.498239	0.906418	-0.072079	-0.569362
1763642216.604363	-0.475940	0.135515	1.194095	0.062697	0.172293	0.484283	0.911977	-0.062668	-0.629498
1763642216.628057	-0.452429	0.146115	1.168709	0.061950	0.135958	0.455158	0.920759	-0.068295	-0.688017
1763642216.664431	-0.440318	0.151453	1.155777	0.060955	0.121186	0.441146	0.929351	-0.053779	-0.693863
1763642216.703655	-0.415295	0.162238	1.129617	0.064013	0.092928	0.413799	0.925500	-0.057156	-0.692133
1763642216.726054	-0.375913	0.177549	1.092219	0.067077	0.060664	0.375231	0.921856	-0.063200	-0.646482
1763642216.758840	-0.362486	0.182488	1.080781	0.070353	0.050203	0.363271	0.922707	-0.050654	-0.601383
1763642216.778786	-0.335277	0.191967	1.059886	0.072049	0.032417	0.337943	0.888250	-0.055707	-0.513623
1763642216.810536	-0.321509	0.196320	1.050585	0.073209	0.025583	0.325863	0.881899	-0.069444	-0.468162
1763642216.835518	-0.293784	0.204441	1.034385	0.074356	0.017560	0.304774	0.891302	-0.070626	-0.428004
1763642216.864061	-0.266018	0.211714	1.020709	0.072692	0.013306	0.283577	0.876064	-0.058733	-0.360396
1763642216.885064	-0.252084	0.215040	1.014838	0.071260	0.014380	0.273588	0.883107	-0.062901	-0.336558
1763642216.906756	-0.238349	0.218134	1.009330	0.070701	0.015378	0.263054	0.871041	-0.072361	-0.335101
1763642216.931317	-0.210672	0.223775	0.999190	0.068338	0.016149	0.244798	0.868409	-0.070109	-0.329509
1763642216.953943	-0.196888	0.226407	0.994551	0.067819	0.017236	0.235643	0.866077	-0.066580	-0.321756
1763642216.985027	-0.169427	0.230940	0.985347	0.065080	0.019837	0.219038	0.879085	-0.072758	-0.314635
1763642217.012003	-0.155721	0.232974	0.980687	0.063469	0.019688	0.211186	0.859139	-0.082904	-0.334608
1763642217.034342	-0.128379	0.236522	0.971453	0.062976	0.020023	0.195760	0.873618	-0.074046	-0.312455
1763642217.062551	-0.114756	0.238009	0.966808	0.062098	0.016596	0.181900	0.873766	-0.082240	-0.318425
1763642217.089107	-0.087632	0.240487	0.957581	0.063048	0.013798	0.175557	0.857689	-0.099304	-0.319217
1763642217.111972	-0.060660	0.242440	0.948682	0.062761	0.007608	0.163001	0.855142	-0.098442	-0.285625
1763642217.143223	-0.047303	0.243074	0.944486	0.064081	0.003602	0.157122	0.850162	-0.098997	-0.264297
1763642217.163185	-0.020910	0.243870	0.936517	0.063371	-0.004991	0.146296	0.833650	-0.126888	-0.251016
1763642217.195134	-0.007905	0.243874	0.932911	0.065291	-0.010365	0.140373	0.819080	-0.131867	-0.249419
1763642217.219567	0.017869	0.243585	0.926557	0.064177	-0.023714	0.125241	0.796172	-0.142675	-0.236236
1763642217.252024	0.043064	0.242444	0.921099	0.062092	-0.028240	0.120113	0.779641	-0.152251	-0.219856
1763642217.282821	0.067538	0.240650	0.916769	0.059672	-0.034616	0.110579	0.770652	-0.152940	-0.174139
1763642217.307944	0.079497	0.239534	0.915003	0.057695	-0.036350	0.106880	0.752049	-0.157677	-0.164987
1763642217.345794	0.102821	0.236574	0.911631	0.054047	-0.038261	0.098622	0.708071	-0.185230	-0.174374
1763642217.371855	0.125303	0.233202	0.908714	0.050697	-0.042607	0.087797	0.696175	-0.190553	-0.162407
1763642217.406845	0.147005	0.229129	0.905912	0.049148	-0.044088	0.084339	0.661810	-0.203317	-0.179600
1763642217.433796	0.167826	0.224649	0.903012	0.045810	-0.045275	0.077258	0.646792	-0.204521	-0.163792
1763642217.461612	0.187920	0.219483	0.900106	0.043697	-0.046201	0.071890	0.619003	-0.221504	-0.182820
1763642217.482105	0.197592	0.216828	0.898569	0.041235	-0.046053	0.068734	0.593933	-0.214002	-0.170467
1763642217.512653	0.207038	0.214038	0.896947	0.038955	-0.045701	0.066175	0.599049	-0.222245	-0.169790
1763642217.533934	0.225381	0.208211	0.893748	0.037232	-0.046082	0.060251	0.558341	-0.244651	-0.189201
1763642217.562599	0.234205	0.205176	0.891940	0.035876	-0.046111	0.058501	0.545277	-0.235471	-0.161111
1763642217.586050	0.251176	0.198704	0.888585	0.031349	-0.044389	0.054563	0.518317	-0.253243	-0.175483
1763642217.615843	0.267274	0.191902	0.885131	0.027384	-0.044543	0.050719	0.490835	-0.251089	-0.171545
1763642217.641772	0.274958	0.188477	0.883402	0.023541	-0.043773	0.046651	0.481469	-0.251651	-0.151000
1763642217.664039	0.289753	0.181409	0.880058	0.018947	-0.042436	0.044791	0.458586	-0.267228	-0.160971
1763642217.689104	0.296928	0.177905	0.878433	0.013631	-0.040908	0.041840	0.437278	-0.267277	-0.160165
1763642217.713850	0.310627	0.170676	0.875325	0.011023	-0.040340	0.039957	0.422862	-0.256780	-0.129148
1763642217.739201	0.317087	0.167047	0.873809	0.010729	-0.040275	0.039213	0.401362	-0.269585	-0.137272
1763642217.760623	0.329476	0.159663	0.870898	0.008049	-0.039462	0.036442	0.367682	-0.259206	-0.118314
1763642217.788556	0.335338	0.155993	0.869617	0.006992	-0.037916	0.034917	0.372659	-0.254900	-0.104599
1763642217.819281	0.346590	0.148694	0.867175	0.001538	-0.036352	0.032399	0.333513	-0.273001	-0.120798
1763642217.842397	0.357018	0.141294	0.865013	0.001930	-0.034571	0.030409	0.313640	-0.265851	-0.112878
1763642217.872371	0.361982	0.137753	0.863962	-0.000314	-0.033493	0.029168	0.302499	-0.256589	-0.095998
1763642217.898463	0.371326	0.130390	0.861767	-0.002827	-0.031842	0.027203	0.268238	-0.265480	-0.112219
1763642217.933781	0.379964	0.123347	0.859785	-0.006181	-0.028819	0.026077	0.264737	-0.250173	-0.077668
1763642217.956739	0.384092	0.119912	0.858920	-0.008921	-0.026596	0.025001	0.226805	-0.260187	-0.092225
1763642217.985359	0.391905	0.112905	0.857099	-0.009647	-0.023249	0.023371	0.219236	-0.248034	-0.081104
1763642218.018388	0.399063	0.106312	0.855378	-0.012101	-0.018171	0.022264	0.223925	-0.249218	-0.074346
1763642218.048268	0.405735	0.099931	0.853654	-0.016716	-0.014717	0.020011	0.186562	-0.230758	-0.064477
1763642218.073760	0.411866	0.093805	0.851953	-0.016669	-0.010737	0.019012	0.189654	-0.236083	-0.069075
1763642218.105071	0.414835	0.090874	0.851031	-0.018747	-0.008700	0.018538	0.154648	-0.238774	-0.088405
1763642218.141429	0.420332	0.085156	0.849248	-0.020125	-0.004855	0.017872	0.152583	-0.220256	-0.061262
1763642218.165602	0.425477	0.079700	0.847531	-0.023059	-0.002180	0.017585	0.126920	-0.215660	-0.064196
1763642218.195139	0.427899	0.077106	0.846792	-0.023707	0.001584	0.015872	0.127800	-0.200294	-0.043787
1763642218.220892	0.432517	0.072063	0.845353	-0.024669	0.003267	0.015316	0.105133	-0.202935	-0.049431
1763642218.254678	0.436839	0.067483	0.844081	-0.025348	0.008221	0.014673	0.096573	-0.193959	-0.043406
1763642218.277277	0.440982	0.063280	0.843039	-0.024871	0.011620	0.014075	0.085901	-0.185862	-0.037200
1763642218.310472	0.442936	0.061199	0.842569	-0.022275	0.012173	0.013912	0.079080	-0.180574	-0.037499
1763642218.343035	0.446691	0.057542	0.841691	-0.022261	0.015131	0.013569	0.079942	-0.153362	-0.012034
1763642218.366059	0.450490	0.054128	0.840802	-0.020742	0.016861	0.013556	0.060071	-0.159214	-0.026913
1763642218.395076	0.454040	0.051157	0.840044	-0.021994	0.018792	0.012995	0.069281	-0.137914	0.000053
1763642218.427366	0.457442	0.048365	0.839280	-0.019067	0.019234	0.013700	0.046013	-0.142360	-0.022369
1763642218.459739	0.459108	0.046998	0.838950	-0.017943	0.019625	0.013614	0.052109	-0.120680	0.001447
1763642218.485235	0.462391	0.044591	0.838369	-0.016883	0.019267	0.013289	0.033944	-0.135636	-0.009561
1763642218.513327	0.463936	0.043490	0.838088	-0.017047	0.021004	0.013502	0.027205	-0.112077	0.002540
1763642218.543197	0.467038	0.041460	0.837721	-0.016274	0.021489	0.013509	0.032875	-0.113023	0.006226
1763642218.576045	0.470166	0.039694	0.837481	-0.013494	0.021641	0.014058	0.011828	-0.110183	0.000157
1763642218.599065	0.473252	0.038177	0.837146	-0.010639	0.022322	0.014194	0.026328	-0.092057	0.022075
1763642218.637405	0.474760	0.037429	0.837084	-0.008154	0.022139	0.014281	0.002677	-0.102058	0.005262
