时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1763642216.050616	0.193873	0.926207	2.318387	-2.387649
1763642216.078377	0.193667	0.924828	2.304876	-2.390829
1763642216.109932	0.193582	0.917471	2.323830	-2.387181
1763642216.135798	0.198253	0.921569	2.304938	-2.401333
1763642216.163647	0.214908	0.816952	2.192276	-2.428308
1763642216.182926	0.243022	0.679328	1.891480	-2.403241
1763642216.214739	0.254294	0.586114	1.719967	-2.349705
1763642216.241122	0.259947	0.408973	1.302138	-2.158261
1763642216.278438	0.240904	0.304165	0.910148	-1.902853
1763642216.311442	0.217333	0.192574	0.486078	-1.611478
1763642216.342332	0.203816	0.119594	0.171086	-1.344792
1763642216.369788	0.202177	0.104508	-0.096530	-1.117053
1763642216.402029	0.208669	0.106251	-0.323435	-0.928093
1763642216.431328	0.217403	0.144494	-0.451646	-0.795375
1763642216.453974	0.224057	0.151066	-0.498332	-0.740659
1763642216.484339	0.234799	0.143665	-0.497370	-0.670328
1763642216.506526	0.246636	0.191988	-0.545766	-0.618144
1763642216.549347	0.259123	0.185601	-0.411410	-0.598900
1763642216.570481	0.286115	0.187878	-0.183185	-0.557600
1763642216.604363	0.300645	0.182393	-0.099997	-0.537365
1763642216.628057	0.318906	0.148948	0.112832	-0.501400
1763642216.664431	0.322205	0.166224	0.187365	-0.481557
1763642216.703655	0.323594	0.110294	0.377818	-0.445509
1763642216.726054	0.314898	0.044353	0.592301	-0.392680
1763642216.758840	0.305038	0.028076	0.661611	-0.385104
1763642216.778786	0.284939	-0.001607	0.846593	-0.369116
1763642216.810536	0.276155	-0.040422	0.903558	-0.359167
1763642216.835518	0.272934	-0.059441	0.903064	-0.326759
1763642216.864061	0.265517	-0.022446	0.918097	-0.305137
1763642216.885064	0.265589	-0.017741	0.874721	-0.289026
1763642216.906756	0.267416	-0.027898	0.861123	-0.269887
1763642216.931317	0.272515	-0.003418	0.799892	-0.236639
1763642216.953943	0.274080	0.008191	0.765599	-0.221500
1763642216.985027	0.280577	0.018486	0.664114	-0.190815
1763642217.012003	0.285760	0.013778	0.668137	-0.176050
1763642217.034342	0.288256	0.031246	0.580354	-0.153303
1763642217.062551	0.290397	0.016435	0.581214	-0.136453
1763642217.089107	0.293281	-0.022294	0.569800	-0.125901
1763642217.111972	0.289005	-0.021758	0.568984	-0.114855
1763642217.143223	0.284845	-0.035080	0.582460	-0.111064
1763642217.163185	0.281685	-0.085907	0.626148	-0.101665
1763642217.195134	0.279488	-0.114415	0.664685	-0.096202
1763642217.219567	0.273860	-0.135351	0.753007	-0.084352
1763642217.252024	0.272433	-0.140644	0.759347	-0.079958
1763642217.282821	0.265679	-0.129189	0.767333	-0.076527
1763642217.307944	0.264201	-0.125504	0.784615	-0.074193
1763642217.345794	0.264977	-0.155458	0.823021	-0.064491
1763642217.371855	0.263846	-0.150605	0.823744	-0.056237
1763642217.406845	0.266490	-0.171470	0.843583	-0.049684
1763642217.433796	0.265733	-0.159741	0.829371	-0.045345
1763642217.461612	0.268966	-0.186534	0.839177	-0.037313
1763642217.482105	0.267344	-0.161387	0.855799	-0.036742
1763642217.512653	0.269179	-0.165934	0.825015	-0.034568
1763642217.533934	0.271271	-0.206077	0.856251	-0.026020
1763642217.562599	0.267873	-0.186859	0.854855	-0.028012
1763642217.586050	0.271548	-0.200285	0.851905	-0.023032
1763642217.615843	0.272147	-0.184201	0.860906	-0.020805
1763642217.641772	0.270088	-0.167390	0.851681	-0.020644
1763642217.664039	0.273097	-0.178317	0.848732	-0.018192
1763642217.689104	0.273451	-0.150882	0.856088	-0.017276
1763642217.713850	0.270461	-0.132256	0.841456	-0.018911
1763642217.739201	0.271039	-0.160107	0.862602	-0.016510
1763642217.760623	0.268209	-0.141844	0.880394	-0.015933
1763642217.788556	0.268060	-0.136075	0.848736	-0.016265
1763642217.819281	0.269763	-0.147759	0.877572	-0.012681
1763642217.842397	0.269504	-0.154535	0.874551	-0.011043
1763642217.872371	0.267275	-0.133165	0.871719	-0.011728
1763642217.898463	0.269186	-0.147825	0.896696	-0.008126
1763642217.933781	0.266159	-0.117830	0.860433	-0.010220
1763642217.956739	0.266526	-0.125108	0.897921	-0.007372
1763642217.985359	0.266935	-0.115619	0.871899	-0.006589
1763642218.018388	0.269369	-0.116870	0.818565	-0.006066
1763642218.048268	0.266674	-0.071636	0.838754	-0.003744
1763642218.073760	0.270730	-0.093679	0.798621	-0.002303
1763642218.105071	0.272231	-0.090290	0.835470	0.000453
1763642218.141429	0.270050	-0.064299	0.801560	0.000555
1763642218.165602	0.270259	-0.049509	0.813968	0.002522
1763642218.195139	0.268432	-0.026716	0.783243	0.003964
1763642218.220892	0.269228	-0.036150	0.799098	0.005778
1763642218.254678	0.270257	-0.026463	0.773345	0.007852
1763642218.277277	0.270572	-0.025064	0.760967	0.009473
1763642218.310472	0.271217	-0.036617	0.765222	0.009736
1763642218.343035	0.268251	0.001302	0.737131	0.010906
1763642218.366059	0.271422	-0.024695	0.751278	0.011975
1763642218.395076	0.268054	0.012192	0.716559	0.012861
1763642218.427366	0.272192	-0.017845	0.745159	0.013102
1763642218.459739	0.268615	0.008779	0.729378	0.013018
1763642218.485235	0.270157	-0.029448	0.754117	0.012871
1763642218.513327	0.268042	0.010232	0.750519	0.014225
1763642218.543197	0.268755	-0.000540	0.732673	0.013759
1763642218.576045	0.269342	-0.016321	0.759201	0.013518
1763642218.599065	0.267406	-0.005650	0.726265	0.012688
1763642218.637405	0.269387	-0.040045	0.762229	0.012438
