时间(s)	位置x(m)	位置y(m)	位置z(m)	欧拉角roll(rad)	欧拉角pitch(rad)	欧拉角yaw(rad)	速度x(m/s)	速度y(m/s)	速度z(m/s)
1763641955.026708	-0.663530	0.009055	1.319304	0.003765	0.021099	-0.001880	0.001906	0.016367	-0.000480
1763641955.066812	-0.664795	0.009997	1.316499	0.006544	0.019950	-0.000135	0.010258	0.008699	0.005035
1763641955.099829	-0.665270	0.010154	1.315826	0.008170	0.019970	-0.000197	-0.000500	-0.001422	-0.014816
1763641955.124897	-0.665652	0.010042	1.315100	-0.005048	0.022878	0.009619	0.000613	0.003852	-0.079415
1763641955.154889	-0.665695	0.010078	1.313970	-0.007156	0.021893	0.015421	0.003394	0.004960	-0.140514
1763641955.177935	-0.665921	0.010145	1.309996	-0.021795	0.026067	0.027303	-0.000447	0.024060	-0.252912
1763641955.217450	-0.666052	0.010186	1.306561	-0.029447	0.028345	0.034180	-0.006128	0.034864	-0.364041
1763641955.248717	-0.666221	0.010732	1.290674	-0.046908	0.032927	0.057866	0.007036	0.059097	-0.442011
1763641955.276193	-0.666293	0.011535	1.275668	-0.052940	0.034358	0.076375	-0.002554	0.085216	-0.526374
1763641955.308176	-0.666390	0.011941	1.267405	-0.057748	0.035853	0.086119	0.016424	0.100296	-0.537877
1763641955.331664	-0.666632	0.013335	1.249549	-0.066242	0.036132	0.105338	0.008795	0.126441	-0.504782
1763641955.370390	-0.666711	0.014221	1.240585	-0.067377	0.035643	0.115672	0.008730	0.149699	-0.460573
1763641955.399984	-0.666731	0.018667	1.216511	-0.064608	0.030950	0.146414	0.026893	0.171419	-0.289787
1763641955.433968	-0.666809	0.022701	1.204876	-0.060339	0.027370	0.167060	0.053201	0.200127	-0.142711
1763641955.460000	-0.666946	0.027786	1.197558	-0.055793	0.023710	0.187592	0.045935	0.193378	-0.045625
1763641955.499102	-0.667139	0.030783	1.195677	-0.052951	0.022601	0.197491	0.057470	0.213880	0.079127
1763641955.530930	-0.667499	0.040837	1.196030	-0.039153	0.022175	0.226202	0.055634	0.244247	0.156113
1763641955.555279	-0.667707	0.044448	1.197792	-0.035370	0.023303	0.234810	0.054248	0.252157	0.210437
1763641955.594558	-0.668153	0.052114	1.202979	-0.029679	0.027136	0.252045	0.082124	0.263905	0.230660
1763641955.623748	-0.668712	0.064576	1.212921	-0.016061	0.033405	0.277007	0.078371	0.251505	0.204056
1763641955.656457	-0.668950	0.068854	1.216231	-0.011621	0.036370	0.285506	0.089096	0.262161	0.164100
1763641955.687454	-0.669291	0.077321	1.221992	-0.001045	0.040912	0.300827	0.087105	0.262126	0.083044
1763641955.714337	-0.669537	0.086200	1.226093	0.005895	0.044967	0.316491	0.104277	0.269149	0.063025
1763641955.751464	-0.669527	0.094845	1.228286	0.013778	0.048046	0.333222	0.095618	0.265319	0.014378
1763641955.777347	-0.669068	0.103312	1.228590	0.023647	0.048921	0.351476	0.131900	0.257994	-0.016825
1763641955.807903	-0.668814	0.107597	1.228292	0.027753	0.049276	0.359528	0.125591	0.239574	-0.052616
1763641955.840641	-0.668318	0.116096	1.227136	0.033479	0.049891	0.377071	0.136071	0.244176	-0.043647
1763641955.871439	-0.667442	0.124303	1.225709	0.040189	0.049397	0.394330	0.156020	0.210304	-0.042697
1763641955.899895	-0.666083	0.132296	1.224325	0.043349	0.048355	0.411908	0.159967	0.209936	0.003443
1763641955.928862	-0.664388	0.140090	1.223769	0.045952	0.046557	0.429670	0.183707	0.200802	0.034576
1763641955.969280	-0.663319	0.143904	1.224081	0.045351	0.046303	0.438190	0.190679	0.186780	0.091271
1763641955.997466	-0.659677	0.154794	1.226799	0.049679	0.041097	0.462046	0.209666	0.162011	0.121216
1763641956.025640	-0.656793	0.161508	1.229864	0.052475	0.035605	0.477920	0.204897	0.137827	0.130704
1763641956.057273	-0.655157	0.164887	1.231823	0.052265	0.033706	0.485667	0.198124	0.131140	0.141173
1763641956.086908	-0.651878	0.171109	1.236205	0.056530	0.027732	0.499773	0.220963	0.119911	0.153924
1763641956.112458	-0.648380	0.176887	1.240744	0.056205	0.022549	0.513240	0.209396	0.100217	0.133812
1763641956.140855	-0.646435	0.179607	1.243009	0.057730	0.019729	0.519696	0.211345	0.098386	0.134454
1763641956.167464	-0.642534	0.184749	1.247197	0.059533	0.014745	0.533241	0.199795	0.068429	0.097599
1763641956.199084	-0.638515	0.189491	1.250827	0.059567	0.011237	0.545357	0.219070	0.068013	0.098881
1763641956.225091	-0.634427	0.193592	1.253352	0.060688	0.007258	0.556918	0.197908	0.039511	0.047756
1763641956.260817	-0.632301	0.195472	1.254241	0.060864	0.006085	0.563022	0.211206	0.038474	0.049802
1763641956.292866	-0.628062	0.198960	1.255260	0.062055	0.003562	0.574840	0.202946	0.009797	0.003687
1763641956.318955	-0.621520	0.203121	1.254896	0.059737	-0.000697	0.592458	0.177938	-0.012628	-0.033006
1763641956.354330	-0.619406	0.204266	1.254382	0.058457	-0.001468	0.597916	0.188927	-0.021447	-0.016722
1763641956.382516	-0.615038	0.206124	1.253087	0.055850	-0.003576	0.609584	0.167030	-0.047259	-0.048907
1763641956.410805	-0.612837	0.206881	1.252278	0.053485	-0.004477	0.615255	0.178604	-0.055068	-0.025824
1763641956.435630	-0.608500	0.207984	1.250523	0.050771	-0.005060	0.627054	0.149083	-0.086115	-0.037821
1763641956.463618	-0.604137	0.208513	1.248979	0.045462	-0.006618	0.638503	0.149713	-0.082358	-0.038664
1763641956.498626	-0.599980	0.208531	1.247651	0.043880	-0.008039	0.649371	0.152268	-0.085225	-0.003291
1763641956.526668	-0.595796	0.208098	1.246569	0.038611	-0.009207	0.660130	0.130148	-0.110543	-0.003948
