时间(s)	位置x(m)	位置y(m)	位置z(m)	欧拉角roll(rad)	欧拉角pitch(rad)	欧拉角yaw(rad)	速度x(m/s)	速度y(m/s)	速度z(m/s)
1763641961.059853	-0.591183	0.042115	1.300710	0.014617	0.270253	1.020430	0.278185	0.054574	-0.256035
1763641961.069923	-0.590410	0.044947	1.298492	0.015729	0.290944	1.017192	0.278185	0.054574	-0.256035
1763641961.079613	-0.590410	0.044947	1.298492	0.015729	0.290944	1.017192	0.308558	0.065557	-0.304053
1763641961.090116	-0.589508	0.048052	1.294780	0.015553	0.307860	1.013950	0.370942	0.059919	-0.401921
1763641961.099759	-0.588407	0.051397	1.289536	0.015134	0.323759	1.010449	0.370942	0.059919	-0.401921
1763641961.109884	-0.588407	0.051397	1.289536	0.015134	0.323759	1.010449	0.402060	0.062352	-0.452586
1763641961.120827	-0.587239	0.055051	1.282753	0.014810	0.335677	1.006547	0.469958	0.070591	-0.555054
1763641961.131082	-0.587239	0.055051	1.282753	0.014810	0.335677	1.006547	0.502947	0.068938	-0.606464
1763641961.142510	-0.585965	0.058911	1.274180	0.015207	0.344160	1.002508	0.502947	0.068938	-0.606464
1763641961.150610	-0.585965	0.058911	1.274180	0.015207	0.344160	1.002508	0.568129	0.072916	-0.707335
1763641961.160741	-0.584622	0.063023	1.263867	0.015982	0.350920	0.998878	0.568129	0.072916	-0.707335
1763641961.169606	-0.583065	0.067433	1.251989	0.015782	0.355725	0.994747	0.599537	0.077090	-0.762802
1763641961.180181	-0.583065	0.067433	1.251989	0.015782	0.355725	0.994747	0.632944	0.079643	-0.816875
1763641961.190735	-0.581311	0.071958	1.238328	0.015724	0.358496	0.990134	0.690710	0.071799	-0.923200
1763641961.200464	-0.581311	0.071958	1.238328	0.015724	0.358496	0.990134	0.690710	0.071799	-0.923200
1763641961.211432	-0.579375	0.076771	1.222892	0.016205	0.358330	0.985394	0.723206	0.077587	-0.977273
1763641961.220164	-0.577401	0.081729	1.205833	0.017246	0.356155	0.980976	0.751498	0.083545	-1.037561
1763641961.230242	-0.577401	0.081729	1.205833	0.017246	0.356155	0.980976	0.780074	0.084130	-1.094598
1763641961.240257	-0.575260	0.087059	1.186966	0.019726	0.353443	0.976929	0.805626	0.082025	-1.151765
1763641961.250422	-0.575260	0.087059	1.186966	0.019726	0.353443	0.976929	0.836228	0.078790	-1.203565
1763641961.259746	-0.572975	0.092610	1.166419	0.018675	0.349418	0.972076	0.858250	0.080773	-1.253924
1763641961.269767	-0.570594	0.098273	1.144166	0.018867	0.343850	0.967136	0.883393	0.090762	-1.296615
1763641961.279903	-0.570594	0.098273	1.144166	0.018867	0.343850	0.967136	0.901342	0.079079	-1.340945
1763641961.289719	-0.567956	0.104185	1.120249	0.020645	0.336179	0.962298	0.926361	0.089370	-1.354567
1763641961.300330	-0.565073	0.110528	1.095112	0.021918	0.326896	0.958497	0.937005	0.092724	-1.348965
1763641961.309899	-0.565073	0.110528	1.095112	0.021918	0.326896	0.958497	0.970993	0.091022	-1.343935
