时间(s)	位置x(m)	位置y(m)	位置z(m)	欧拉角roll(rad)	欧拉角pitch(rad)	欧拉角yaw(rad)	速度x(m/s)	速度y(m/s)	速度z(m/s)
1763707537.246212	-0.501434	-0.025960	1.309301	0.000915	0.011036	0.002402	0.005217	0.000049	-0.015395
1763707537.276601	-0.498196	-0.026112	1.307129	0.002093	0.008987	0.002461	0.002571	0.010276	-0.019147
1763707537.301662	-0.497613	-0.026057	1.306652	0.000504	0.008629	0.001762	0.001357	0.003132	-0.028310
1763707537.334785	-0.497325	-0.025977	1.306288	-0.001555	0.008510	0.004400	0.020430	0.006585	-0.043297
1763707537.366052	-0.496830	-0.025991	1.304724	-0.006441	0.008857	0.013144	0.011106	0.009485	-0.116325
1763707537.388247	-0.496213	-0.025931	1.300954	-0.009936	0.008587	0.025189	0.002599	0.019855	-0.234381
1763707537.423886	-0.495855	-0.025891	1.298099	-0.011550	0.008451	0.031581	0.014440	0.022972	-0.252748
1763707537.452420	-0.494839	-0.025733	1.284618	-0.019127	0.009252	0.051407	0.010041	0.029029	-0.359550
1763707537.484858	-0.494522	-0.025609	1.278683	-0.021968	0.010275	0.059184	0.010322	0.042459	-0.420884
1763707537.510806	-0.493863	-0.025201	1.265202	-0.025792	0.011572	0.075551	0.007385	0.057374	-0.450572
1763707537.536327	-0.493346	-0.024536	1.250471	-0.027598	0.010757	0.092948	0.003331	0.061006	-0.458102
1763707537.567023	-0.493053	-0.024174	1.242932	-0.028300	0.010298	0.102489	0.019256	0.078686	-0.412047
1763707537.590753	-0.492461	-0.023121	1.228724	-0.026167	0.008485	0.122224	-0.003011	0.078182	-0.355628
1763707537.641920	-0.491533	-0.020757	1.211179	-0.022859	0.006604	0.151796	0.012395	0.087411	-0.216421
1763707537.680575	-0.491305	-0.019802	1.206876	-0.019730	0.006561	0.161705	0.001743	0.092403	-0.158454
1763707537.702291	-0.490523	-0.016163	1.198416	-0.014892	0.007703	0.188781	0.009321	0.101486	-0.049121
1763707537.736291	-0.490311	-0.014833	1.197210	-0.013622	0.009214	0.198128	0.007752	0.113811	0.016114
1763707537.758064	-0.489886	-0.011926	1.196674	-0.010597	0.011732	0.214918	0.023246	0.116966	0.063498
1763707537.787503	-0.489359	-0.008737	1.198175	-0.005083	0.012751	0.232889	0.013839	0.107810	0.075828
1763707537.819139	-0.489176	-0.007184	1.199448	-0.003637	0.014442	0.241710	0.011166	0.107734	0.081694
1763707537.850128	-0.488663	-0.003940	1.202825	0.001915	0.017129	0.257960	0.028027	0.108052	0.102359
1763707537.878547	-0.488020	-0.000497	1.206656	0.005470	0.019005	0.274678	0.037609	0.113853	0.108113
1763707537.903113	-0.487264	0.002861	1.210518	0.007182	0.020995	0.291221	0.036052	0.104133	0.085475
1763707537.926548	-0.486845	0.004667	1.212387	0.008661	0.021999	0.299509	0.039337	0.102454	0.086787
1763707537.960936	-0.485897	0.007963	1.216163	0.011397	0.023283	0.316296	0.038948	0.099951	0.077697
1763707537.993051	-0.485380	0.009662	1.217888	0.013022	0.023296	0.324585	0.043230	0.095909	0.063273
1763707538.018511	-0.483562	0.014717	1.222427	0.016619	0.023168	0.348785	0.052591	0.090028	0.052940
1763707538.052314	-0.482947	0.016338	1.223894	0.015541	0.023167	0.356897	0.073163	0.096147	0.072326
1763707538.076921	-0.481402	0.019555	1.226527	0.016043	0.022294	0.372942	0.071000	0.088977	0.059269
1763707538.110133	-0.479750	0.022683	1.228757	0.018806	0.021624	0.388481	0.061342	0.076253	0.036986
1763707538.142948	-0.478952	0.024250	1.229873	0.018403	0.021856	0.395374	0.092254	0.080501	0.066260
1763707538.167720	-0.477122	0.027275	1.231885	0.019867	0.020897	0.408476	0.085984	0.064022	0.048807
1763707538.202218	-0.475073	0.030185	1.234031	0.020534	0.019262	0.422758	0.097771	0.075462	0.076643
1763707538.228482	-0.472963	0.032937	1.236345	0.023216	0.017494	0.437580	0.100109	0.068621	0.079733
1763707538.262802	-0.470443	0.035623	1.238854	0.025633	0.014828	0.452692	0.092785	0.041970	0.065290
1763707538.301065	-0.469345	0.036816	1.240293	0.027497	0.012762	0.458882	0.108441	0.039186	0.076684
1763707538.327327	-0.465518	0.040407	1.244426	0.027636	0.009870	0.479294	0.100077	0.038686	0.074789
1763707538.363224	-0.462889	0.042478	1.246880	0.027731	0.006663	0.491612	0.084128	0.021826	0.053328
1763707538.386330	-0.460278	0.044359	1.249124	0.027389	0.004982	0.503402	0.100173	0.025651	0.078013
1763707538.421992	-0.458876	0.045333	1.250231	0.027949	0.003787	0.509898	0.090763	0.012417	0.065902
1763707538.451528	-0.456125	0.046853	1.252418	0.026839	0.001737	0.521803	0.097227	-0.007889	0.054020
1763707538.477563	-0.453319	0.048220	1.254500	0.026754	-0.000256	0.533731	0.099230	0.001177	0.062582
1763707538.504419	-0.450617	0.049361	1.256323	0.026049	-0.002579	0.544939	0.089151	-0.014842	0.039441
1763707538.533882	-0.449252	0.049805	1.257113	0.025985	-0.003157	0.550033	0.093330	-0.008849	0.053372
1763707538.564250	-0.446517	0.050628	1.258460	0.024523	-0.004376	0.560460	0.073182	-0.026352	0.030789
1763707538.591119	-0.443919	0.051153	1.259594	0.022815	-0.005518	0.570782	0.076081	-0.036321	0.033747
1763707538.623964	-0.442597	0.051292	1.260138	0.024415	-0.006490	0.575766	0.083768	-0.028944	0.049616
1763707538.647289	-0.440042	0.051541	1.261184	0.023865	-0.007650	0.586760	0.065209	-0.049981	0.020797
1763707538.677769	-0.437368	0.051507	1.262196	0.022174	-0.007686	0.596850	0.068276	-0.048592	0.031319
1763707538.704853	-0.434990	0.051253	1.263146	0.019941	-0.008545	0.606489	0.050826	-0.044732	0.030005
1763707538.737139	-0.433780	0.051069	1.263566	0.017551	-0.008949	0.610615	0.041607	-0.061610	0.015403
1763707538.764230	-0.431475	0.050426	1.264265	0.018438	-0.009832	0.619478	0.059095	-0.054981	0.035726
1763707538.797808	-0.429345	0.049598	1.264922	0.019142	-0.010609	0.628186	0.024948	-0.075979	0.012993
1763707538.821869	-0.427342	0.048571	1.265705	0.016098	-0.009954	0.637377	0.031604	-0.073658	0.031960
1763707538.853801	-0.426354	0.048060	1.266071	0.016131	-0.011226	0.641931	0.028575	-0.078882	0.024167
1763707538.888028	-0.424525	0.046824	1.266960	0.012180	-0.011636	0.650716	0.032116	-0.079349	0.027305
1763707538.910860	-0.422740	0.045341	1.267874	0.010385	-0.011618	0.658426	0.021342	-0.070838	0.035938
1763707538.934131	-0.421979	0.044661	1.268162	0.008906	-0.010955	0.661627	0.000046	-0.083963	0.013254
1763707538.963083	-0.420612	0.043032	1.268776	0.006614	-0.010256	0.668903	0.011212	-0.074463	0.030320
1763707538.988738	-0.419351	0.041263	1.269540	0.006002	-0.010032	0.675856	-0.013976	-0.084628	0.015021
1763707539.028545	-0.418780	0.040290	1.269991	0.005154	-0.009157	0.679916	-0.002673	-0.067621	0.035837
1763707539.054038	-0.417243	0.037524	1.270944	0.005234	-0.007537	0.691049	-0.001854	-0.071870	0.037370
1763707539.084370	-0.416743	0.036503	1.271228	0.002899	-0.006671	0.694292	-0.027457	-0.075608	0.007143
1763707539.119589	-0.416030	0.034530	1.271706	0.003041	-0.006016	0.701509	-0.014068	-0.073880	0.018162
1763707539.141638	-0.415540	0.032530	1.271998	0.002325	-0.004430	0.707415	-0.020554	-0.066777	0.010444
1763707539.175776	-0.415379	0.031528	1.272058	0.000038	-0.003200	0.709869	-0.044914	-0.072513	-0.003421
1763707539.199966	-0.414872	0.028517	1.272168	0.000156	-0.000150	0.718670	-0.019169	-0.063522	0.028921
1763707539.232107	-0.414788	0.027562	1.272263	0.000742	0.000592	0.721248	-0.042940	-0.078220	0.005441
1763707539.257758	-0.414763	0.025410	1.272635	0.002290	0.000689	0.727112	-0.037565	-0.057255	0.029071
1763707539.287332	-0.414683	0.024444	1.272811	0.002864	0.001156	0.730608	-0.038619	-0.057717	0.027330
1763707539.313076	-0.414811	0.022357	1.273196	0.001086	0.002110	0.736748	-0.049107	-0.067504	0.014736
1763707539.350459	-0.414900	0.021390	1.273505	0.000211	0.002398	0.739438	-0.053467	-0.053638	0.030778
1763707539.379055	-0.415261	0.018367	1.274290	-0.000698	0.002875	0.748861	-0.056297	-0.059585	0.011260
1763707539.408327	-0.415595	0.016519	1.274565	-0.001777	0.004302	0.753099	-0.049525	-0.061867	0.000478
1763707539.445757	-0.416124	0.014587	1.274617	-0.005757	0.005558	0.758654	-0.046261	-0.050164	0.019960
1763707539.470018	-0.416616	0.012643	1.274511	-0.004397	0.006149	0.763369	-0.050461	-0.050217	0.005063
1763707539.504030	-0.416948	0.011802	1.274579	-0.001521	0.005984	0.765683	-0.054964	-0.045547	0.017896
1763707539.527130	-0.417594	0.010127	1.274671	0.000176	0.006856	0.770530	-0.043036	-0.041610	0.031804
1763707539.558700	-0.418197	0.008301	1.274998	-0.000358	0.007623	0.776891	-0.065484	-0.051147	0.007927
1763707539.598858	-0.418871	0.006697	1.275452	-0.001743	0.009279	0.782278	-0.058355	-0.029303	0.037837
1763707539.624359	-0.419721	0.005212	1.275989	-0.002443	0.011162	0.787774	-0.060433	-0.045957	0.015206
