时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1763707543.077892	0.000000	-0.114859	3.009356	-0.317936
1763707543.087392	0.000000	-0.112174	2.984586	-0.317936
1763707543.097387	0.000000	-0.091891	2.959140	-0.317966
1763707543.107328	0.000000	-0.082358	2.962666	-0.317966
1763707543.118704	0.000000	-0.097603	3.003786	-0.318123
1763707543.128206	0.000000	-0.088920	2.950357	-0.318036
1763707543.137520	0.000000	-0.096362	2.896972	-0.318036
1763707543.148216	0.000000	-0.123024	2.753622	-0.317535
1763707543.157535	0.000000	-0.134239	2.747428	-0.317535
1763707543.167688	0.000000	-0.105624	2.538920	-0.316651
1763707543.179120	0.000000	-0.131590	2.314510	-0.315892
1763707543.187802	0.000000	-0.133093	2.300829	-0.315892
1763707543.198837	0.000000	-0.141454	2.081329	-0.315045
1763707543.207356	0.000000	-0.146436	1.898445	-0.314279
1763707543.219166	0.000000	-0.139131	1.872720	-0.314279
1763707543.229158	0.000000	-0.148559	1.666240	-0.313287
1763707543.238007	0.000000	-0.138620	1.630265	-0.313287
1763707543.247788	0.000000	-0.113270	1.439352	-0.312276
1763707543.259024	0.000000	-0.122122	1.397907	-0.312276
1763707543.267755	0.000000	-0.107338	1.214747	-0.311113
1763707543.278462	0.000000	-0.118845	1.060557	-0.309889
1763707543.287787	0.000000	-0.114065	1.008600	-0.309889
1763707543.298934	0.000000	-0.096993	0.855570	-0.308458
1763707543.308557	0.000000	-0.081825	0.773663	-0.308458
1763707543.318874	0.000000	-0.071997	0.629667	-0.307369
1763707543.329691	0.000000	-0.050774	0.557504	-0.306081
1763707543.338297	0.000000	-0.042455	0.447893	-0.306081
1763707543.347765	0.027708	-0.007285	0.333830	-0.304851
1763707543.357710	0.051745	-0.001636	0.283418	-0.304851
1763707543.367741	0.091318	0.021796	0.174760	-0.303635
1763707543.377968	0.135098	0.047657	0.087871	-0.302586
1763707543.390533	0.184015	0.066471	-0.019216	-0.302586
1763707543.398374	0.205623	0.091117	-0.035427	-0.301261
1763707543.408439	0.256182	0.101189	-0.134655	-0.301261
1763707543.418520	0.280626	0.098052	-0.136804	-0.299835
1763707543.427673	0.334186	0.126147	-0.179632	-0.298577
1763707543.439014	0.381422	0.129569	-0.261210	-0.298577
1763707543.448436	0.410943	0.131615	-0.241996	-0.297468
1763707543.458094	0.424914	0.138470	-0.295342	-0.297468
1763707543.467981	0.475926	0.169274	-0.286299	-0.296311
1763707543.479371	0.511711	0.168336	-0.316875	-0.294896
1763707543.488431	0.522393	0.171010	-0.330307	-0.294896
1763707543.499634	0.529740	0.183320	-0.327638	-0.293361
1763707543.509140	0.517598	0.172981	-0.374584	-0.293361
1763707543.518027	0.529740	0.185351	-0.331948	-0.292003
1763707543.528097	0.529740	0.192004	-0.333666	-0.290666
1763707543.538193	0.507162	0.207382	-0.348042	-0.290666
1763707543.547605	0.529740	0.227483	-0.296481	-0.288977
1763707543.559216	0.497521	0.240414	-0.384879	-0.288977
1763707543.568042	0.457504	0.250661	-0.347179	-0.287388
1763707543.578358	0.454214	0.242004	-0.323644	-0.285805
1763707543.590635	0.412732	0.284621	-0.318886	-0.285805
1763707543.600186	0.411372	0.262248	-0.284863	-0.284393
1763707543.609054	0.400426	0.292809	-0.258475	-0.282878
1763707543.617881	0.400426	0.292809	-0.258475	-0.282878
1763707543.627930	0.372536	0.312091	-0.202413	-0.281245
1763707543.639043	0.372536	0.312091	-0.202413	-0.281245
1763707543.647632	0.368652	0.309203	-0.206681	-0.279253
1763707543.660017	0.339490	0.334104	-0.251013	-0.279253
1763707543.667835	0.328619	0.335087	-0.167196	-0.277468
1763707543.677842	0.340435	0.346907	-0.113338	-0.275724
1763707543.687849	0.317534	0.340546	-0.197181	-0.275724
1763707543.698513	0.319314	0.338947	-0.161048	-0.273985
1763707543.711738	0.308213	0.332832	-0.176539	-0.273985
1763707543.719118	0.316321	0.344674	-0.131837	-0.272336
1763707543.730132	0.321163	0.350350	-0.083369	-0.270630
1763707543.738490	0.320275	0.360279	-0.123193	-0.270630
1763707543.748025	0.322913	0.366278	-0.083192	-0.268490
1763707543.758980	0.327234	0.354368	-0.094834	-0.268490
1763707543.768221	0.332486	0.377250	-0.059156	-0.266645
1763707543.780731	0.338144	0.352445	-0.037731	-0.264806
1763707543.788548	0.341303	0.354974	-0.037290	-0.264806
1763707543.798598	0.348391	0.349717	-0.004984	-0.262930
1763707543.808415	0.344166	0.343478	-0.022165	-0.262930
1763707543.817967	0.346796	0.368913	-0.005467	-0.261016
1763707543.828271	0.350458	0.354850	0.027032	-0.258894
1763707543.838216	0.343252	0.350827	0.025306	-0.258894
1763707543.847792	0.347336	0.358298	0.041013	-0.257389
1763707543.859119	0.340498	0.348663	0.014162	-0.257389
1763707543.867867	0.343143	0.343978	0.041627	-0.255345
1763707543.877942	0.338229	0.318279	0.058101	-0.253455
1763707543.888244	0.334860	0.321080	0.073564	-0.253455
1763707543.898600	0.330161	0.303660	0.086111	-0.251742
1763707543.908596	0.331635	0.305534	0.088793	-0.251742
1763707543.918669	0.323838	0.280749	0.085196	-0.249883
1763707543.929739	0.315353	0.254592	0.107932	-0.248001
1763707543.939134	0.312742	0.248957	0.123690	-0.248001
1763707543.948305	0.312387	0.255756	0.130611	-0.246232
1763707543.958566	0.308429	0.218831	0.122081	-0.246232
1763707543.968182	0.307460	0.200380	0.130898	-0.244152
1763707543.978469	0.299243	0.176600	0.151664	-0.242148
1763707543.988184	0.300503	0.172876	0.153827	-0.242148
1763707544.000171	0.297435	0.128097	0.180745	-0.240358
1763707544.008744	0.299740	0.108189	0.189107	-0.240358
1763707544.018091	0.293083	0.098500	0.191475	-0.238700
1763707544.029025	0.291622	0.107897	0.197248	-0.236813
1763707544.038188	0.287599	0.085284	0.202304	-0.236813
1763707544.048116	0.284105	0.092693	0.188113	-0.234900
1763707544.058947	0.285028	0.076369	0.193782	-0.234900
1763707544.067656	0.288704	0.053185	0.209694	-0.233281
1763707544.077612	0.290359	0.029481	0.219678	-0.231516
1763707544.087749	0.293661	0.023282	0.218117	-0.231516
1763707544.098039	0.290575	0.034874	0.208160	-0.229795
1763707544.107928	0.285141	0.012608	0.213553	-0.229795
1763707544.118138	0.282091	0.016532	0.202598	-0.227942
1763707544.129302	0.279096	-0.000801	0.196784	-0.226404
1763707544.138451	0.284984	-0.033667	0.225559	-0.226404
1763707544.148376	0.289893	-0.052939	0.243338	-0.224667
1763707544.158307	0.288646	-0.073081	0.240174	-0.224667
1763707544.169151	0.280519	-0.069307	0.255400	-0.222964
1763707544.178704	0.283811	-0.118696	0.244738	-0.221494
1763707544.187747	0.290985	-0.142987	0.284894	-0.221494
1763707544.199010	0.288656	-0.127421	0.271631	-0.219901
1763707544.208338	0.292078	-0.132737	0.263987	-0.218338
1763707544.218085	0.285597	-0.142983	0.267371	-0.218338
1763707544.227680	0.277567	-0.147155	0.259989	-0.216680
1763707544.238175	0.283944	-0.172952	0.259821	-0.216680
1763707544.247915	0.286731	-0.181172	0.256371	-0.215087
1763707544.258383	0.290993	-0.204753	0.297595	-0.215087
1763707544.268057	0.283226	-0.222166	0.298704	-0.213434
1763707544.278511	0.278919	-0.218013	0.284819	-0.212207
1763707544.287971	0.281107	-0.263044	0.304720	-0.212207
1763707544.299154	0.284789	-0.266840	0.294869	-0.210624
1763707544.308477	0.286738	-0.273926	0.313247	-0.209399
1763707544.320423	0.286738	-0.273926	0.313247	-0.209399
1763707544.328726	0.279581	-0.300791	0.323978	-0.207969
1763707544.338090	0.279581	-0.300791	0.323978	-0.207969
1763707544.347888	0.283958	-0.323726	0.336140	-0.206456
