relative_time_s,absolute_time_s,state_cost,control_cost,total_cost,x_err,y_err,z_err,roll_err,pitch_err,yaw_err,vx_err,vy_err,vz_err,u_roll_rate,u_pitch_rate,u_yaw_rate,u_thrust
0,1782826005,28.3220539,15.94713436,44.26918826,-2.199916,-0.023781,0.397136,-0.001375,-0.033429,0.981267,-0.03084,-0.010213,-0.190571,0.111622,1.139134,3.141593,-2.157616
0.07586193085,1782826005,28.12747383,15.90710592,44.03457975,-2.200464,-0.024998,0.383373,-0.002109,-0.028755,0.984657,-0.038885,-0.009239,-0.220246,0.123555,1.159321,3.141593,-2.130919
0.1553630829,1782826005,27.71423219,17.0921242,44.80635639,-2.197198,-0.026014,0.363904,0.037458,0.055463,0.959062,-0.006265,-0.018547,-0.190911,0.293876,1.044322,3.141593,-2.295273
0.2273359299,1782826005,26.92730908,11.99516909,38.92247817,-2.185512,-0.024597,0.334285,0.104962,0.236411,0.886834,0.152836,-0.090782,-0.327353,0.52974,0.611368,2.178054,-2.01773
0.2996430397,1782826006,25.74344801,4.933079862,30.67652788,-2.163312,-0.018709,0.284229,0.145259,0.395535,0.814633,0.474743,-0.183793,-0.436847,0.512429,0.284038,0.759796,-1.284242
0.3749530315,1782826006,24.40605416,3.245355909,27.65141007,-2.12699,-0.006107,0.236902,0.153444,0.522493,0.731774,0.959688,-0.232244,-0.05855,0.487149,0.04796,-0.762651,-0.536915
0.4441139698,1782826006,22.41419694,4.129954039,26.54415098,-2.04541,0.025956,0.201091,0.12631,0.575138,0.632786,1.42725,-0.202216,0.637816,0.373158,-0.006044,-1.645947,-0.168247
0.5144279003,1782826006,20.28208051,3.986521561,24.26860207,-1.935105,0.071071,0.195962,0.092614,0.520744,0.551673,1.777711,-0.134162,1.07472,0.284597,0.02615,-1.768808,-0.217259
0.583343029,1782826006,17.97359203,3.480157645,21.45374967,-1.792795,0.129596,0.215443,0.066424,0.397528,0.496294,2.139491,-0.07518,1.303357,0.175656,0.031706,-1.738999,-0.382733
0.6653270721,1782826006,15.78464779,3.468252136,19.25289992,-1.631134,0.194857,0.25371,0.053744,0.247969,0.455279,2.534647,-0.02791,1.217364,0.092841,-0.029813,-1.764801,-0.516378
0.7442760468,1782826006,13.23669926,2.253817646,15.4905169,-1.407435,0.282438,0.313485,0.038623,0.044533,0.403584,2.748633,0.020949,0.701784,0.044014,0.060003,-1.328772,-0.682063
0.86510396,1782826006,11.16984151,0.6774100499,11.84725156,-1.191093,0.365108,0.357017,0.041132,-0.156846,0.342326,2.720107,0.090433,-0.023335,0.1009,0.300058,-0.207676,-0.66516
0.9403159618,1782826006,8.779390339,2.297031914,11.07642225,-0.923106,0.465622,0.370993,0.072892,-0.396059,0.245343,2.246298,0.177432,-0.989379,0.256649,0.156415,1.249379,-0.230068
1.013576984,1782826006,7.546305174,5.302770397,12.84907557,-0.796604,0.51261,0.354081,0.10965,-0.4773,0.186056,1.735798,0.188734,-1.373467,0.287194,0.025655,2.108989,-0.171679
1.089663029,1782826006,6.36620834,7.276778218,13.64298656,-0.68694,0.552592,0.321729,0.136827,-0.494759,0.149014,1.260029,0.125286,-1.417399,0.268147,-0.085208,2.552071,-0.193451
1.16891408,1782826006,5.200866038,7.107263612,12.30812965,-0.585462,0.588834,0.27274,0.15597,-0.446025,0.133916,0.926308,0.023688,-1.1813,0.246586,-0.188647,2.536145,-0.177758
