时间(s)	位置x(m)	位置y(m)	位置z(m)	欧拉角roll(rad)	欧拉角pitch(rad)	欧拉角yaw(rad)	速度x(m/s)	速度y(m/s)	速度z(m/s)
1782835337.478611	-0.424730	0.006632	1.230201	0.009045	-0.006701	-0.002400	0.021829	0.000843	-0.011883
1782835337.482166	-0.424730	0.006632	1.230201	0.009045	-0.006701	-0.002400	0.021829	0.000843	-0.011883
1782835337.486204	-0.424484	0.006763	1.230078	0.010601	-0.007773	-0.001481	0.028974	-0.004866	-0.017878
1782835337.495834	-0.424407	0.006828	1.229898	0.013205	-0.007548	-0.003346	0.028974	-0.004866	-0.017878
1782835337.506133	-0.424331	0.006853	1.229609	0.015382	-0.007058	-0.003052	0.016092	0.004582	-0.028132
1782835337.515837	-0.424117	0.006937	1.229338	0.015798	-0.008584	0.002023	0.016092	0.004582	-0.028132
1782835337.525686	-0.424104	0.006974	1.229242	0.014708	-0.009309	0.003346	0.033038	-0.008215	0.011460
1782835337.537509	-0.424051	0.007054	1.229308	0.014938	-0.009813	0.005651	0.033038	-0.008215	0.011460
1782835337.545915	-0.424051	0.007054	1.229308	0.014938	-0.009813	0.005651	0.020842	0.002684	0.040031
1782835337.556271	-0.423872	0.007073	1.230363	0.012796	-0.007463	0.011209	0.020842	0.002684	0.040031
1782835337.566669	-0.423872	0.007073	1.230363	0.012796	-0.007463	0.011209	0.028679	0.001524	0.102514
1782835337.575770	-0.423798	0.007103	1.231404	0.018190	-0.009938	0.013248	0.028679	0.001524	0.102514
1782835337.585954	-0.423731	0.007202	1.232455	0.014375	-0.009133	0.015433	0.021862	-0.000950	0.159353
1782835337.595828	-0.423759	0.007109	1.234067	0.014027	-0.011317	0.018010	0.021862	-0.000950	0.159353
1782835337.605839	-0.423600	0.007119	1.235960	0.010383	-0.010527	0.020829	0.030724	-0.003760	0.190004
1782835337.617935	-0.423418	0.007133	1.238038	0.014893	-0.011851	0.023609	0.030724	-0.003760	0.190004
1782835337.626137	-0.423369	0.007202	1.240685	0.013416	-0.013588	0.025133	0.028567	0.003399	0.249455
1782835337.636334	-0.423335	0.007366	1.243253	0.011398	-0.013759	0.027471	0.028567	0.003399	0.249455
1782835337.646784	-0.423225	0.007481	1.246146	0.009478	-0.012482	0.029389	0.017377	0.009134	0.267191
1782835337.656354	-0.423250	0.007224	1.249081	0.010509	-0.014753	0.032302	0.031067	-0.000043	0.302107
1782835337.666322	-0.423250	0.007224	1.249081	0.010509	-0.014753	0.032302	0.031067	-0.000043	0.302107
1782835337.675896	-0.423060	0.007271	1.252153	0.010228	-0.012638	0.034166	0.031067	-0.000043	0.302107
1782835337.686931	-0.423158	0.007178	1.255421	0.011342	-0.012621	0.037155	0.013106	0.010864	0.279861
1782835337.697213	-0.423048	0.007304	1.258453	0.010710	-0.013156	0.039102	0.013106	0.010864	0.279861
