时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782835128.937712	0.130519	0.712675	2.480219	-1.872433
1782835129.005093	0.129600	0.691695	2.484969	-1.880604
1782835129.071903	0.164440	0.584953	2.068982	-1.923842
1782835129.145019	0.190234	0.334826	1.274414	-1.667084
1782835129.215179	0.192723	0.244258	0.143354	-0.994476
1782835129.283406	0.216891	0.133994	-1.074718	-0.293331
1782835129.348380	0.213972	0.100549	-1.410763	-0.143495
1782835129.425758	0.210210	0.001955	-1.506954	-0.132722
1782835129.491270	0.239472	-0.052451	-1.101694	-0.247249
1782835129.559655	0.314113	-0.150030	-0.510988	-0.315962
1782835129.635841	0.344565	-0.152611	0.286977	-0.269215
1782835129.714691	0.326728	-0.077232	1.039849	-0.193547
1782835129.807071	0.298782	0.059220	1.384391	-0.181944
1782835129.891871	0.273760	0.183536	1.223240	-0.221635
1782835129.971181	0.254374	0.198141	0.881866	-0.208476
1782835130.039633	0.233777	0.110225	0.515414	-0.163042
1782835130.107442	0.232352	-0.004748	0.289128	-0.125145
1782835130.177449	0.224389	-0.145332	0.155290	-0.098205
1782835130.251603	0.220983	-0.237676	0.123342	-0.083244
1782835130.328765	0.233881	-0.324260	0.168172	-0.064002
1782835130.396830	0.246674	-0.330165	0.302930	-0.040586
1782835130.465634	0.258248	-0.350863	0.427587	-0.023880
1782835130.572566	0.274112	-0.305655	0.585826	-0.013145
1782835130.702662	0.287097	-0.160783	0.641346	-0.020391
1782835130.775618	0.284690	0.066621	0.600326	-0.027475
1782835130.862266	0.277828	0.185663	0.510504	-0.017586
1782835130.971229	0.265110	0.154367	0.398963	-0.001678
1782835131.091913	0.243094	0.088861	0.338369	0.014283
1782835131.199162	0.232744	-0.045952	0.310947	0.018599
1782835131.272241	0.236336	-0.168420	0.316112	0.020221
1782835131.340532	0.251976	-0.234731	0.302018	0.022595
1782835131.412920	0.275284	-0.240282	0.329408	0.028966
1782835131.488707	0.284423	-0.228145	0.366992	0.033674
1782835131.568454	0.298821	-0.153021	0.414524	0.041160
1782835131.637697	0.296395	-0.036591	0.405032	0.046721
1782835131.712036	0.292898	-0.000106	0.365600	0.049875
1782835131.780687	0.269510	0.035521	0.334717	0.050919
1782835131.853443	0.254539	0.068814	0.291713	0.050215
