relative_time_s,absolute_time_s,state_cost,control_cost,total_cost,x_err,y_err,z_err,roll_err,pitch_err,yaw_err,vx_err,vy_err,vz_err,u_roll_rate,u_pitch_rate,u_yaw_rate,u_thrust
0,1782832648,8.86479794,9.612584105,18.47738204,-0.991664,-0.006263,0.386876,-0.004809,-0.011579,0.976781,-0.011677,-0.006799,0.013595,0,0.002166,3.084991,-0.308885
0.01473593712,1782832648,8.86479794,9.612584105,18.47738204,-0.991664,-0.006263,0.386876,-0.004809,-0.011579,0.976781,-0.011677,-0.006799,0.013595,0,0.002166,3.084991,-0.308885
0.03100991249,1782832648,8.873430893,9.572194736,18.44562563,-0.991987,-0.006345,0.387117,-0.003486,-0.012934,0.977606,-0.002532,-0.004491,0.03362,0,-0.001745,3.078412,-0.309146
0.04506993294,1782832648,8.879275422,9.442531922,18.32180734,-0.992101,-0.006314,0.387281,-0.004265,-0.009164,0.978722,-0.002532,-0.004491,0.03362,0,0.002744,3.057243,-0.309499
0.05976891518,1782832648,8.860423412,8.305337568,17.16576098,-0.991429,-0.005501,0.386339,-0.007807,0.023534,0.979821,0.000528,0.003218,0.058873,0,0.037335,2.86495,-0.309847
0.07610988617,1782832648,8.825400339,6.714143093,15.53954343,-0.990641,-0.004407,0.384476,-0.004802,0.069109,0.980247,0.019879,-0.001447,0.078458,0,0.015053,2.572514,-0.309981
0.08941698074,1782832648,8.816967962,6.051642461,14.86861042,-0.990394,-0.003764,0.383929,0.000627,0.086942,0.981583,0.038362,0.002327,0.023955,0,-0.008165,2.440333,-0.310404
0.1052570343,1782832648,8.794476886,5.467839548,14.26231643,-0.989836,-0.002948,0.382924,-0.004322,0.108327,0.980592,0.038362,0.002327,0.023955,0,0.021777,2.317587,-0.31009
0.1193380356,1782832648,8.769268063,4.742377269,13.51164533,-0.989367,-0.002025,0.381508,-0.003876,0.126983,0.98072,0.072016,0.005379,-0.031299,0,0.026317,2.155343,-0.310131
0.1325569153,1782832648,8.747839277,4.172621758,12.92046104,-0.988968,-0.00127,0.380355,0.000112,0.141409,0.979844,0.104599,0.006574,-0.097562,0,0.007307,2.019049,-0.309854
0.1467049122,1782832648,8.670306855,3.459529388,12.12983624,-0.987298,0.000683,0.376463,-0.001754,0.173333,0.978251,0.104599,0.006574,-0.097562,0,0.022272,1.83394,-0.30935
0.1626119614,1782832648,8.62843788,2.998743927,11.62718181,-0.986531,0.002098,0.3739,0.002569,0.186285,0.979356,0.138059,0.002572,-0.128797,0,-0.005685,1.70376,-0.309699
0.1784310341,1782832648,8.525578781,2.198473891,10.72405267,-0.984592,0.005052,0.367894,0.00236,0.214929,0.979081,0.190892,0.005091,-0.213496,0,0.006237,1.450026,-0.309612
0.1917028427,1782832648,8.455674602,1.760343753,10.21601836,-0.983529,0.006425,0.363889,-0.002842,0.226067,0.976041,0.248302,-0.005791,-0.256543,0,0.021015,1.290208,-0.308651
0.2061569691,1782832648,8.380611697,1.585453679,9.966065376,-0.982241,0.008093,0.359771,0.001296,0.237764,0.974264,0.248302,-0.005791,-0.256543,0,0.001234,1.220874,-0.308089
0.221971035,1782832648,8.327575641,1.307673526,9.635249167,-0.981354,0.010251,0.355427,0.001891,0.246679,0.979194,0.289486,0.002612,-0.345219,0,0.016461,1.100691,-0.309648
0.2362430096,1782832648,8.149975578,0.9119271527,9.061902731,-0.978397,0.014469,0.344639,0.000213,0.26357,0.974885,0.347427,0.003201,-0.420539,0,0.036392,0.903085,-0.308286
0.2503409386,1782832648,8.071613388,0.6248613322,8.696474721,-0.977079,0.016787,0.338866,0.001448,0.272006,0.975304,0.423537,-0.002146,-0.486092,0,0.025793,0.727375,-0.308418
