时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782832647.927314	0.000000	0.002166	3.084991	-0.308885
1782832647.942050	0.000000	0.002166	3.084991	-0.308885
1782832647.958324	0.000000	-0.001745	3.078412	-0.309146
1782832647.972384	0.000000	0.002744	3.057243	-0.309499
1782832647.987083	0.000000	0.037335	2.864950	-0.309847
1782832648.003424	0.000000	0.015053	2.572514	-0.309981
1782832648.016731	0.000000	-0.008165	2.440333	-0.310404
1782832648.032571	0.000000	0.021777	2.317587	-0.310090
1782832648.046652	0.000000	0.026317	2.155343	-0.310131
1782832648.059871	0.000000	0.007307	2.019049	-0.309854
1782832648.074019	0.000000	0.022272	1.833940	-0.309350
1782832648.089926	0.000000	-0.005685	1.703760	-0.309699
1782832648.105745	0.000000	0.006237	1.450026	-0.309612
1782832648.119017	0.000000	0.021015	1.290208	-0.308651
1782832648.133471	0.000000	0.001234	1.220874	-0.308089
1782832648.149285	0.000000	0.016461	1.100691	-0.309648
1782832648.163557	0.000000	0.036392	0.903085	-0.308286
1782832648.177655	0.000000	0.025793	0.727375	-0.308418
1782832648.193892	0.044643	0.049714	0.583901	-0.307669
1782832648.212637	0.055556	0.064576	0.539272	-0.307472
1782832648.226783	0.115136	0.079581	0.413860	-0.306305
1782832648.240384	0.141647	0.072785	0.289910	-0.306305
1782832648.258923	0.204077	0.112554	0.194089	-0.305415
1782832648.273229	0.255720	0.069365	0.075581	-0.305399
1782832648.287705	0.286989	0.111560	0.078271	-0.304210
1782832648.301427	0.340669	0.131063	-0.010520	-0.303723
1782832648.317093	0.384853	0.166373	-0.113622	-0.302755
1782832648.333086	0.384853	0.166373	-0.113622	-0.302755
1782832648.347110	0.451261	0.154030	-0.152879	-0.302445
1782832648.362010	0.460617	0.195310	-0.203744	-0.300902
1782832648.375771	0.499069	0.200784	-0.168443	-0.299793
1782832648.389885	0.508545	0.249951	-0.206447	-0.299341
1782832648.405553	0.522597	0.291031	-0.244531	-0.297827
1782832648.419705	0.498695	0.281825	-0.272621	-0.297944
1782832648.434384	0.515450	0.311126	-0.257722	-0.297243
1782832648.447572	0.482788	0.327673	-0.251469	-0.296197
1782832648.463804	0.441901	0.350598	-0.284208	-0.295562
1782832648.478636	0.400541	0.406029	-0.271330	-0.294057
1782832648.492815	0.410939	0.405898	-0.192671	-0.292585
1782832648.507772	0.364165	0.437642	-0.194702	-0.291884
1782832648.523434	0.323634	0.482895	-0.170709	-0.290951
1782832648.537083	0.274605	0.495460	-0.191506	-0.290951
1782832648.553604	0.239193	0.526799	-0.168837	-0.288943
1782832648.567245	0.241085	0.537005	-0.154850	-0.288533
1782832648.584587	0.204960	0.575019	-0.148758	-0.286522
1782832648.598754	0.190886	0.574575	-0.162750	-0.285744
1782832648.620127	0.178885	0.582963	-0.122593	-0.283605
1782832648.639201	0.177136	0.563424	-0.087892	-0.283327
